Account Name,Company,ICP Fit Verified,Eligible ,Industry,Company Description,Business Type,Business Model,# of Warehouses,ICP Fit (Yes/No) & Rationale (AI),New / Edit Inventory Part,Items List,New / Edit Sales Order,Sales Order List,New / Edit Purchase Order,Purchase Order List,New / Edit Invoice,New / Edit Bill,Total Screens Customized,Has all App Packs?,New / Edit Sales Receipt
dcshisha,DA Project Inc,No,No,Beverage (Hangover Prevention Drink),"Maker of DrinkAde, a scientifically formulated vitamin- and electrolyte-infused hangover prevention and hydration drink to help people “feel their best”.",Small,B2C,1,No,0,0,0,0,N/A,N/A,0,N/A,0,1,0
dddirect,DC SHISHA,No,No,Hookah & Vape Wholesale,"Licensed wholesaler specializing in hookah tobacco, vapes, and smoke products, supplying smoke shops and lounges in the D.C./Maryland area.",Small,B2B,1,"No – Distributes shisha (hookah tobacco). Tobacco products are regulated (age restrictions, excise laws) and therefore excluded from our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
dddirect,Decks and Docks Direct LLC,No,No,Decking & Construction Materials,"Exclusive supplier of Admiral™ SpaceMaker™ watertight decking systems and related deck & dock materials, providing stylish and waterproof outdoor flooring.",Small,B2B,1,"No – Specializes in a specific decking system (e.g., watertight deck boards). This is a narrow product line (few SKUs) and involves building materials rather than a broad catalog of finished goods. Not a general small distributor with moderate SKU complexity (hence not a fit).",0,0,0,0,N/A,N/A,0,N/A,0,1,0
abhasafinancialservices2,Delcol Water Solutions Ltd,Yes,No,,,,,,"Yes – Small (4 employees) distributor of water treatment equipment (e.g., water filters, dispensers), which are non-regulated, non-perishable finished goods. Likely has 1–3 warehouses and a moderate number of SKUs.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
donecdistributors,Donec LLC,Yes,No,Wholesale of Designer Fragrances & Electronics,"Miami-based wholesale distributor of genuine designer perfumes and consumer electronics, serving retailers across Latin America with top brands.",Midsize,B2B,1,"Yes – Small distributor (5 employees) of wholesale goods like perfumes and electronics. Perfumes and consumer electronics are finished goods (non-perishable, largely unregulated). The business likely carries a moderate variety of SKUs across those categories, fitting our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
dpalex,"DPAlex, Inc.",No,No,Disaster Relief Supplies (Tarps),"Manufacturer and distributor of emergency roofing tarps and sheeting for disaster relief, known for huge on-hand inventory and rapid deployment for FEMA.",Small,B2B,2,"No – Focuses on disaster-relief tarps and accessories, a very niche product set. They supply finished goods (tarps) but have only a handful of SKUs (few tarp kit models), far below the 1,000–5,000 SKU range. Thus they lack the SKU complexity of our target ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
dyetusainc,DYET USA Inc,No,No,Agricultural Equipment (Feed Mixers),"Designs and manufactures high-quality feed mixers and farm equipment for dairy and beef farming, delivering efficient on-site feeding solutions.",Small,B2B,1,"No – Distributes heavy farm equipment (feed mixers). These machines are serialized assets and part of a regulated agricultural industry. They also have a limited product range (just a few equipment models), failing the “non-serialized, moderate SKU” criteria of our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
experthosiery,"EXPERT HOSIERY, LLC",Yes,No,Hosiery (Socks) Manufacturing & Wholesale,"Supplier of a wide variety of high-quality socks (branded as Funtime Footwear), delivering quality hosiery products at reasonable prices to retailers.",Midsize,B2B,1,"Yes – Distributor of hosiery and apparel (socks, etc.). Clothing items are finished goods, not regulated or perishable, and typically not individually serialized. With ~52 employees, they’re small and likely carry a moderate array of SKUs (different sock styles, sizes, colors) sold B2B – a good ICP match.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
fosterus,Foster Milano Inc.,Yes,No,Kitchen Appliances (Premium Italian),"U.S. distributor of Foster (Italy) premium kitchen appliances and sinks, offering a full range of Italian-designed sinks, hobs, ovens and faucets for the American market.",Small,B2B,1,"Yes – Exclusive U.S. distributor of Foster kitchen appliances and sinks (high-end kitchen equipment). Appliances are finished goods, non-perishable, and unregulated (aside from safety certifications). Foster Milano is small and offers many models (sinks, cooktops, ovens, etc.), providing a moderate SKU count and operating within 1–3 warehouses – a fit for our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
freemansreachgreenhouses,Freeman’s Reach Greenhouses Pty Ltd,No,No,Wholesale Plant Nursery,"Wholesale plant nursery in NSW, Australia growing a wide selection of edible plants and ornamental shrubs, known for impressive plant quality and pricing.",Small,B2B,1,"No – Sells live plants/greenhouse products. Plants are perishable and often subject to agricultural regulations (quarantines, certifications). This company deals in living goods (perishable), excluding it from our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
fromtheretohereimports,From There to Here Imports,Yes,No,Gift & Novelty Importer/Wholesaler,"Importer and wholesaler of unique, whimsical gifts from around the world, specializing in bold and whimsical giftware that “brings love and joy” to customers.",Small,B2B,1,"Yes – Small importer/distributor of unique gifts and whimsical items. These are finished goods (novelty toys, giftware) that are non-perishable and unregulated. With 5 employees and ~4,869 customers, they serve as a niche B2B distributor of a moderate assortment of SKUs, fitting the ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
genprollc,GEN-PRO LLC,Yes,No,Generator Sales & Service,"Sales, installation and maintenance of residential and commercial standby generators (authorized Kohler generator dealer), providing full-service backup power solutions.",Small,Both,1,"Yes – Small wholesaler of electrical supplies. They operate in durable goods (electrical apparatus and wiring supplies) with ~10 employees and ~$1.1M revenue. These products are finished components, non-perishable, unregulated, and not serialized. GEN-PRO likely carries thousands of part SKUs and runs a single-location distribution, which aligns perfectly with our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
gmfhospitalityinc,GMF Hospitality LLC,Yes,No,Hospitality Furnishings & Fabrics,"Family-operated hospitality design supplier providing upholstery, casegoods and décor for hotels/restaurants, continuing a legacy of fine furnishings since 1955.",Small,B2B,1,"Yes – Distributor of hospitality industry goods (hotel/restaurant supplies, furniture, fixtures). These are finished goods, not perishable or regulated. With 11 employees, GMF is small, and serving hospitality clients implies a moderate range of SKUs (varied products for hotels/restaurants) in a few warehouses – a good fit.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
pneusquebecnet,GROUPE OLT INC.,Yes,No,Tire Import/Distribution (Wholesale),"Quebec-based wholesale distributor of new pneumatic tires (e.g. bus and truck tires), importing and supplying high-quality tires to regional markets.",Small,B2B,1,"Yes – Small tire distributor (serving Quebec; “pneus” means tires). Tires are finished goods (automotive parts) that are non-perishable and not specially regulated (aside from safety standards). Groupe OLT (0 employees listed, likely very small) distributes a variety of tire SKUs (different sizes/brands) and operates on a limited warehouse footprint – fitting our ICP profile.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
ajco,Gold ’n Gems,No,No,Jewelry Retail/Wholesale,"Jewelry business offering gold, diamonds and gemstones. (Offers a variety of fine jewelry products.)",Small,B2C,1,"Yes – Small jewelry wholesale business (focusing on gold and gemstone jewelry). Jewelry is a finished good that is non-perishable and generally unregulated. The company likely offers a moderate variety of SKUs in their wholesale catalog, aligning with our target ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
golfinvite2,"Golf Invite, Inc.",No,No,Event Management (Golf Tournaments),"Golf event specialist company relieving the stress of planning corporate and charity golf tournaments, providing end-to-end tournament planning services.",Small,B2B,1,"No – Primarily an event services company for golf tournaments (planning events, promotional contests) rather than a distributor of physical goods. Since its focus isn’t on B2B goods distribution, it does not align with our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
grazianobrothers,Graziano Brothers Inc.,No,Yes,Specialty Grocery (Italian Foods),"Historic Italian grocery and sausage maker (founded 1912) offering homemade Italian sausage, imported cheeses, pasta, breads and more—a Des Moines tradition.",Midsize,Both,1,"No – An Italian foods distributor/retailer dealing in grocery and specialty foods (e.g., sausage, cheeses). Food products are perishable and highly regulated, excluding this company from the non-perishable, non-regulated ICP.",0,0,0,0,0,0,0,0,0,0,0
gsova,Growth Services of Virginia LLC,No,Yes,Hydroponics Supply Retail,"“Happy Trees” indoor gardening supply store in Virginia specializing in hydroponic equipment and grower consultations, serving hobbyist growers and small farms.",Small,Both,1,"Yes – Operates Happy Trees Agricultural Supply, a hydroponics and indoor gardening supplier. They sell finished goods like grow lights, nutrients, and equipment for cultivation – non-perishable and generally unregulated items. With 13 employees, they’re small and likely stock a wide variety of SKUs (many brands of indoor growing supplies) across 1–2 store/warehouse locations, fitting our ICP.",0,0,0,0,0,0,0,0,0,0,0
hattrickdistributioninc,"HETTA GLOGG, LLC",No,Yes,Alcoholic Beverages (Mulled Wine),"Producer of HETTA Glögg, a Nordic-inspired mulled port wine infused with fruits and spices and finished with brandy – a bottled spiced wine served warm.",Small,B2C,1,"No – Sells glögg (a mulled wine beverage). Alcoholic drinks are regulated (licensing, age restrictions) and perishable (shelf life considerations). This company does not meet the non-regulated, non-perishable criteria of our ICP.",0,0,0,0,0,0,0,0,0,0,0
hettaglogg,HOUSE OF Q FOODS LTD,No,No,Barbecue Sauces & Rubs,"Award-winning competition BBQ team turned sauce & spice maker from Langley, BC, producing a range of handcrafted BBQ sauces and rubs sold across North America.",Small,Both,1,"No – Sells sauces or food products (BBQ sauces, etc.). Food items are perishable (expire) and subject to food safety regulations. Therefore, this company is not a fit for our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
houseofqcrm,Hat Trick Distribution Inc,No,No,Hemp/Cannabinoid Vape Products,Distributor and white-label producer of hemp-derived vape products (e.g. Voodoo Labs delta-8 THC disposables and distillates) for smoke shops and retailers.,Small,B2B,1,"No – Distributor of hemp/cannabis-derived products (e.g., Voodoo Labs disposable vapes). THC/CBD vape products are regulated and fall into a controlled substance category. That, plus the likely legal complexity, puts this company outside our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
hps1source3,Hps1source,Yes,Yes,Watch & Jewelry Repair Supplies,"One of the largest importers and wholesale distributors of watch parts, jewelry repair supplies, and equipment in the U.S., serving jewelers and watchmakers.",Small,B2B,1,"Yes – Wholesale distributor of watch parts and jewelry repair supplies. They serve jewelers and watchmakers with a wide range of finished supplies and tools. These items are non-perishable, unregulated, and not serialized. HPS is small (~11 employees) and carries a large variety of SKUs (watch parts, batteries, tools) – well within our ICP.",0,0,0,0,0,0,0,0,0,0,0
hucksterinc,"Huckster, Inc.",No,Yes,Convenience & Tobacco Product Distribution,"B2B distributor of convenience-store products and tobacco/vape brands, managing retail brand activation and CPG distribution for gas stations and stores.",Midsize,B2B,1,"No – Specializes in convenience store and tobacco product distribution (cigarettes, vaping, etc.). Tobacco products are age-regulated and thus fall outside the non-regulated requirement of our ICP.",0,0,0,0,0,0,0,0,0,0,0
icandyenergydrink,Icandy Energy,No,No,Energy Drink Manufacturing,"Creator of I.CANDY Energy, a sweet, full-bodied energy drink brand delivering an “OG energy punch” with a smooth taste for the fitness and nightlife market.",Small,B2C,1,"No – Distributes an energy drink (beverage). Beverages are consumable/perishable (with expiration dates) and regulated as food products. This does not meet the ICP criteria of non-perishable, non-regulated goods.",0,0,0,0,0,0,1,0,1,0,0
integriturf2,"Integriturf, LLC.",Yes,No,Synthetic Turf Supply,"Nationwide distributor of premium artificial grass and turf products, supplying landscapers, contractors, homeowners and dealers with high-quality turf solutions.",Small,Both,1,"Yes – Distributor of synthetic turf products for landscaping and sports fields. Artificial turf is a finished good, non-perishable and unregulated. Integriturf is a small company (5 employees) and a “leading supplier of premium artificial grass”, offering various turf types (moderate SKU breadth) with 1–2 warehouses – fits our ICP well.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
jjsprotap,JJ’s Pro Tap,No,No,Draft Beer System Services,"Draft beer services company providing bar beer line installations, cleanings, and repairs—offering full-service draft system maintenance for bars and restaurants.",Small,B2B,1,"Yes – Likely a distributor of draft beer system equipment and supplies (taps, kegerators, bar hardware) for bars/restaurants. These are finished goods (hardware) that are not themselves regulated (distinct from alcohol product) and are non-perishable. With ~12 employees, JJ’s Pro Tap is small and presumably carries a moderate variety of SKUs for beverage dispensing systems – a fit for our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
jpmdistributors,"JPM Distributors, LLC",Yes,No,Smoking Accessories Distribution,"Eco-conscious distributor of RAW pre-rolled cones, rolling papers and smoking accessories (operating as The Green Blazer brand) with a focus on sustainability.",Small,B2B,1,"Yes – Distributor of smoking accessories (the email domain “thegreenblazer.com” suggests eco-friendly rolling papers, cones, etc.). Accessories like rolling papers or packaging are finished goods that are non-regulated (no tobacco content), non-perishable, and not serialized. JPM is a small company and likely offers a moderate range of SKUs in that niche, aligning with our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
lesgerstionsdmanagementlin,Les gestions D management Inc.,No,Yes,Business Management Services,Management consulting and holding company (based in Québec) providing business administration and consulting services (various industries).,Small,B2B,1,No – This appears to be a holding/management entity rather than an active product distributor (very low sales ~$75k). There’s no indication of a catalog of finished goods; it does not fit our ICP as a B2B distributor.,0,0,0,0,0,0,0,0,0,0,0
lightingxcorp,LightingX Corp.,Yes,Yes,Commercial LED Lighting,"Distributor of high-performance commercial and industrial LED lighting solutions, combining quality with energy efficiency for value-driven lighting projects.",Small,B2B,1,"Yes – Small distributor of commercial/industrial lighting solutions (LED fixtures, etc.). Lighting fixtures are finished goods, non-perishable, and aside from electrical safety standards, unregulated. LightingX likely offers a diverse product range (many SKUs of lights and accessories) and operates on a small scale (0– few employees, one warehouse), fitting our ICP.",0,0,0,0,0,0,0,0,0,0,0
lot49llcdbabox7imports,Lot 49 LLC,No,Yes,Importer of Organic Goods,"Certified organic Importer of Record (“Box 7 Imports”) that helps businesses import organic products compliantly, providing end-to-end import solutions.",Small,B2B,1,"No – Insufficient public info, but given its profile (2 employees, high average sale per customer), it likely deals in specialized or high-value items (possibly serialized equipment or a consultancy). It’s not clearly an active B2B distributor of a broad SKU catalog, so it doesn’t fit our ICP.",0,0,0,0,0,0,0,0,0,0,0
amarenusa,MAWGROUP,No,No,International Trading & Investment,"Private international trading group (USA/Middle East) involved in global commodity trading and investments (diverse portfolio; e.g. energy, real estate).",Small,B2B,1,"No – Appears to distribute hookah tobacco (via Amaren USA), which is an age-regulated product. Regulated, nicotine-containing products are excluded from our ICP.",1,0,0,0,N/A,N/A,0,N/A,1,1,0
miminternationalinc,"MIM International, Inc.",Yes,Yes,Industrial PVF Distribution,"Import–export distributor specializing in industrial pipe, valves, and fittings (PVF), celebrating 30+ years of supplying high-quality PVF products worldwide.",Small,B2B,1,"Yes – Small distributor (5 employees) of PVF (pipes, valves, fittings) for industry. These are durable, finished components used in plumbing and construction – non-perishable, unregulated items. MIM likely carries a wide range of SKUs (various sizes/types of PVF) and operates on a small wholesale scale, which fits our ICP.",0,0,0,0,0,0,0,0,0,0,0
maaribu,Maaribu ATX Kitchen LLC,No,No,Catering & Food Service,"Small kitchen and catering company in Austin, TX, providing prepared foods/meal services (operating a local ghost kitchen for food delivery and events).",Small,B2C,1,"No – Name suggests involvement in food (a kitchen/culinary venture in Austin). If they produce or distribute food/drink items, those are perishable and regulated. Moreover, it’s likely a small food maker rather than a wholesale distributor of finished goods, thus not in our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
magicgreensinc,"Magic Greens, Inc.",No,Yes,Wholesale Plant Nursery (Florida),"Large wholesale grower and distributor of Florida plants, including edible crops and ornamental shrubs, supplying nurseries and landscapers (Florida certified).",Midsize,B2B,1,"No – Likely involved in cannabis (or possibly microgreens produce) given the name. Cannabis products are regulated, and produce is perishable; either way this company falls outside the ICP due to product nature. (Additionally, 88 employees with minimal sales implies it’s not a typical small distributor of finished goods.)",0,0,0,0,0,0,0,0,0,0,0
marcatodirectlimited2,Marcato Direct Limited,No,No,Multi-Product Trading (UK),"UK-based trade agent involved in the sale of a variety of goods, handling import/export and direct distribution of assorted products to clients worldwide.",Small,B2B,1,"Yes – Distributor of kitchenware and home goods (the Marcato brand is known for pasta makers and culinary tools). These are finished goods, non-perishable and unregulated. Marcato Direct is small (6 employees) and serves as an importer/distributor for such products, likely managing a moderate number of SKUs in the housewares category – suitable for our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
msf,Market Street Fundraising,No,No,Fundraising Services,"Assists schools and nonprofits in product fundraising campaigns, providing fundraising merchandise and support to maximize funds raised for organizations.",Small,B2B,1,"No – Provides fundraising products, often food-based (e.g., frozen pastry dough like “Pastry Puffins”). These fundraising goods tend to be perishable or consumable and thus outside the non-perishable criterion. Additionally, it’s not a traditional distributor but a fundraising supplier, so not a fit.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
memiairellc,Mid Atlantic Hay Co.,No,No,Agricultural Feed (Hay Brokerage),"Sources and supplies hay and forage products to farms and stables in the Mid-Atlantic region, ensuring consistent quality and delivery of animal feed hay.",Small,B2B,1,"No – Sells hay (animal feed), a raw agricultural commodity. Hay is perishable (can spoil) and is not a finished consumer good but a bulk raw material. This company is outside our ICP on both product type and perishability.",0,0,0,0,0,0,1,0,1,0,0
mintdistributors2,Mint Distributors LLLP,Yes,No,Flooring Materials Distribution (Colorado),"Distributor of innovative flooring solutions in Colorado, maintaining local inventory of flooring products and providing exceptional service to contractors.",Small,B2B,1,"Yes – Distributor of innovative flooring solutions in Colorado. Flooring materials (e.g., specialty flooring products) are finished goods for construction, non-perishable, and unregulated. Mint Distributors is small (6 employees) and offers local inventory of various flooring products, implying a moderate SKU complexity within 1–3 warehouses – a good ICP match.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
nanoandmoreusa1,NanoAndMore USA Corporation,No,No,Nanotechnology Lab Supplies,Distributor of AFM (Atomic Force Microscopy) probes and nanotechnology research consumables – a one-stop shop for all AFM tip and accessory needs.,Small,B2B,1,"Yes – Distributor of nanotechnology lab supplies (e.g., AFM microscope probes and related items). These are specialized finished goods, not perishable or regulated. NanoAndMore has an extensive product catalog (thousands of tiny precision components) and operates as a small niche B2B distributor. Despite 0 employees listed, it fits the profile of a small, specialized distributor with moderate SKU complexity.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
nellieshairemporiumincnew,Nellie’s Hair Emporium Inc.,No,No,Beauty Supply Retail,"Beauty supply store offering a wide range of hair extensions, wigs, and hair care products to customers, known for its diverse selection of hair products.",Small,B2C,1,"Yes – Distributor of hair products and accessories (likely wigs, extensions, haircare tools). These are finished goods for the beauty industry, unregulated (aside from basic safety) and non-perishable. With 15 employees, Nellie’s is small and probably carries a moderate variety of SKUs (different hair product lines/colors) for distribution to salons or retailers, fitting our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
onsight,"ON SIGHT, LLC",No,No,Security Systems & Monitoring,"Security technology company providing surveillance camera systems, monitoring, and on-site security solutions (notably for farms and businesses).",Midsize,B2B,1,"No – Appears to be a security services company (On Sight 24/7) rather than a product distributor. They likely install or monitor security systems (service business) rather than wholesale physical goods, so this does not match our B2B distribution ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
opcdistributionllc,Opc Distribution LLC,No,No,Professional Salon Cosmetics Distribution,"Distributor of professional salon-quality cosmetics and hair products, empowering salon owners with top-brand beauty supplies and products in their local market.",Small,B2B,1,"Yes – Distributor of professional cosmetic products for salons. They supply salons with top-quality hair and beauty brands – finished goods that are non-perishable and mostly unregulated (cosmetics don’t require special distribution permits). OPC is small and carries a diverse range of SKUs (various beauty product lines) for B2B sale, fitting the ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
penusa,Peninsula Technologies Inc.,No,No,Technology Solutions (Florida),"Technology solutions firm offering specialized tech products/services (e.g. software or electronics) to businesses, delivering innovative and cost-effective results.",Small,B2B,1,"No – Does not align. Public info suggests it’s involved in patent/IP holdings (Dominion Harbor subsidiary) or other non-distribution activities. There’s no evidence of it being a small finished-goods distributor, so it falls outside our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
perlite,Perlite.com,No,Yes,Perlite Mining & Supply,"Bulk supplier of high-quality perlite for horticulture, construction, and industrial use, leveraging an extensive network to deliver perlite efficiently worldwide.",Small,B2B,1,"No – Distributes primarily perlite (a single mineral product used in horticulture). While perlite itself is non-perishable and unregulated, this company’s product range is extremely narrow (essentially one raw material) and thus not in the 1,000–5,000 SKU “moderate complexity” range. It’s more of a bulk commodity supplier than a broad-spectrum distributor, so not a fit.",0,0,0,0,0,0,0,0,0,0,0
pghorticulturelimited,PG Horticulture Limited,No,No,Horticultural Supplies (UK),"UK-based supplier of horticultural and garden products, operating from Daventry to provide gardening supplies, equipment, and plants to retailers and exporters.",Small,B2B,1,"Yes – Distributor of horticultural and hydroponic supplies in the UK. These products (plant nutrients, grow lights, hydro systems, etc.) are finished goods for cultivation, non-perishable and unregulated. With 8 employees, PG Horticulture is small and likely carries thousands of SKUs (covering many brands of horticulture supplies), which aligns well with our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
pikkl,PIKKL,Yes,Yes,Sporting Goods (Pickleball Equipment),"Producer of professional-grade pickleball paddles and gear, on a mission to bring pro-level equipment to every pickleball player and elevate players’ game.",Small,B2C,1,"No – Sells pickleball equipment (their own PIKKL brand of paddles). While sporting goods are fine (non-perishable, unregulated), this company is essentially a single-brand manufacturer/retailer with a limited SKU count (just a few paddle models and accessories). It lacks the moderate SKU complexity and broad distribution aspect of our ICP.",0,0,0,0,0,0,0,0,0,0,0
poochiepets2,Poochie-Pets,Yes,No,Pet Accessories (Training & Toys),"Pet product company known for PoochieBells dog potty-training doorbell straps and other pet accessories, supplying innovative, pet-safe products to retailers.",Small,Both,1,"No – Sells a niche pet accessory (known for “PoochieBells” dog training bells). Their product line is very narrow (few SKUs) and the company is essentially a micro-business (1 employee). It does not meet the moderate SKU count criterion and functions more as a single-product brand than a B2B distributor, so it’s not a fit.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
