Project,Problem,Solution,Opportunity,Road Map Status,Primary Revenue Lever, Core Metric & KPIs,Mechanism - Why we believe this will move ARR,Target Improvement (Estimate),Time to Impact (Ship | Impact),Reach,"T Shirt Size
Impact",Confidence,T Shirt Size Effort,SCORE ,Priority,Quarter
KANBAN - REV OPS | MARKETING | SALES,,,,,,,,Fast estimates based on impact,,,,,,,,
"In product message - Add your CC ""Don't lose access""","""""",Mid-trial in product message - Ask for payment before trial ends. “Don’t lose progress“ - subscriber now,Remind users to subscribe and of what they will lose without subscribing,Planning,Conversion,"ARR
1. Conversion",Encourge signing up before the trial is over.,3%,Early March | Late March,3  > 30-70% Users,3 Medium,"3 Reasonably Confident, Indirect Data Signals",4 S,13,Medium,Q1
,,,,,,,,,,,,,,,,
Upset to new app packs and workflows,Apps and packs that are not downloaded are not well exposed or optimized for upselling and gaining new users. ,-- TBD--,Opportunity to Explore the app packs more and improve their value proposition to users without the app,,Upsell,,,,,,,,,,,
Simplify pricing structure,"""""",Simplified pricing structure + check click checkout (Stripe experience),Given users an easy to understand pricing structure that helps the user envision afordability and do simple future cost analysis.,,Conversion,"ARR
1. Conversion",Make subscribe process easier to understand and simple/fast to prepare your costs before paying. ,8%,,5  > 70% Users,5 High,"3 Reasonably Confident, Indirect Data Signals",1 XL,14,,
Default to monthly costs of an annual subscription,"""""",Default to the monthly cost view  Or adjust the the Annual cost to a “Per Month” breakdown to reduce sticker shock.,Avoid sticker shock - still promote annual pre-pay value,,Conversion,"ARR
1. Conversion",Make subscribe process easier to understand - less intimidating. ,3%,,3  > 30-70% Users,3 Medium,"3 Reasonably Confident, Indirect Data Signals",4 S,13,,
Add CC incentive messsage in product.,Payment needed before user in confident. ,Offer $ incentive to add card early,Get early commitment even withou confidence / Switch to Opt-out structure early-mid trial.,,Conversion,"ARR
1. Conversion",Incentives for early subscription and ensure we are asking for CC before trial ends. ,3%,,3  > 30-70% Users,3 Medium,"3 Reasonably Confident, Indirect Data Signals",3 M,12,,
More content to clarify pricing,"""""",Add more Context and clarity to how pricing works.,provide help and clarity on screen and reduce reliance on support.,,Conversion,"ARR
1. Conversion",Make subscribe process easier to understand with better explanations,1%,,3  > 30-70% Users,1 Low,"3 Reasonably Confident, Indirect Data Signals",5 XS,12,,
Make the subscription editing flow faster - only offer change that impacts price,"""""",Flow for quick add/remove apps and user - to make the final pricing easier to get to. Fast clarity.,Make the subscription cost preparation faster with lower friction to improve subscribe success rate without help. ,,Conversion,"ARR
1. Conversion",Make subscribe process easier to drive more subscriptions.,5%,,3  > 30-70% Users,3 Medium,"3 Reasonably Confident, Indirect Data Signals",2 L,11,,
Trade CC for a Trial extention (Opt out model),,"Offer trial extension if credit card is added. (Transition to opt-out structure)
“Get another 14 day free - with CC added”",increase subscription commitment during trail but offering more trial time (Which we do provide sometimes),,Conversion,"ARR
1. Conversion",Incentivise putting a credit card down - leading them to be in an Opt-out product state that typically dives higher subscriptions. ,3%,,3  > 30-70% Users,3 Medium,1 More of an educated guess.,3 M,10,,
Trade tasks for more trial time (Earned extention),Product is removed at moment the decision is needed,"""Earned Extension"" The Idea: ""Need 7 more days? Invite a team member, send your first invoice and we'll extend your trial automatically.""",Incentivize key value actions at trial end and given users more time to make their decision. ,,Conversion,"ARR
1. Conversion",Incentivize deeper product usage that may help them see value and subscribe.,2%,,3  > 30-70% Users,3 Medium,1 More of an educated guess.,2 L,9,,
"""Add payment"" onboarding step","""""",Add the “Add your payment” as a natural next step after completing key value moments in the onboarding.,Leverage users that want guidance to encourge adding payment as a natural next step.,,Conversion,"ARR
1. Conversion",Encourge signing up before the trial is over,1%,,3  > 30-70% Users,1 Low,1 More of an educated guess.,4 S,9,,
Seperate CC add from subscribe,Pricing unclear / complex  leading to hesitation,"Provide a seperate ""Add payment"" flow ",Make adding the credits card less complex and specific to the subscription costs (Apps/users),,Conversion,"ARR
1. Conversion",Make subscribe process easier to drive more subscriptions.,1%,,3  > 30-70% Users,1 Low,1 More of an educated guess.,3 M,8,,
Lock screen is focused on all the time and effort the user saved.,,End trial with new focus of subscribe page “Trial summary - focus on all the value they received” and are giving up,Opportunity to improve perception of trial end and share key value propositions without access to the full platform.,,Conversion,"ARR
1. Conversion",Help users find value even after being locked out of the functional platform.,1%,,1  < 30% Users,1 Low,1 More of an educated guess.,4 S,7,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Insights Email V2,,"Highlight value adds, case studies, FOMO tactics and new product driven work flows that make them want to log back in.",,,,,,,,,,,,,,
