Title,Description,Estimated Difficulty,Solution,# of Requests,# of Accounts Req.,# of Users Impacted,Value,Tags,Note from Product
Equipment App - Customer Equipment / Warranty Tracking App,"Equipment and Parts tracking

1.) Track the equipment rented out to the customer 
2.) Customer History
3.) Part History Including the service history
4.) Serial number, makes, models, expiration dates",Catalog Entry Available,"A custom equipment app can be created in less time is all the listed features above are not required.

1.) Create and Equipment App
2.) Create a link to Customer
3.) Import all the appropriate makes, models to ensure the customer has a starting point
4.) Understand how the customer services machines and equipment (work orders, bills)
5.) Understand how equipment is loaned out (invoices, work orders)
6.) Centralize all this information in the Equipment app 
7.) Users would be able to either look up a customer and see their equipment history but they'd also be able to look up a piece of equipment and view it's history / update its attributes",96,85,392,"180,000.00",,
Email Transactions - Option to Edit Emails before sending ,"Many customers have requested we have the ability to edit the template that will be sent off to the customer from a transaction screen. This will allow them to quickly modify the transaction and personalize it to each customer prior to sending it out. It should also allow them to edit the to/ cc/ bcc fields per transactions. 

Please quote how long it would take to implement:

Hello, recently we got the following feedback from account, cmisales:
'This particular issue has been raised by me since before I signed up for Method. The absolute poor integration of email services within the product. There was a ray of hope/progress on Sept 27 when the email service for invoices allowed cc and bcc fields to be accessed.

My need is very simple.
When I want to email a quote, or invoice, or packing slip from a button on one of these screens, I want to transfer control to the method email app that has

the send-to field populated from the invoice contact,

the subject line populated with some standard text along with the quote/invoice/packing slip number. ie....“CMI  xxxxxx”

and the pdf of the quote/invoice/packing slip attached.
With the email app now in control I can choose to change/add send-to addresses, bcc,cc, subject, body, and attachments.

Why isn’t this a standard feature?'

Basically, they want to be able to edit what is being sent for a transaction, before it is sent. 

this is actually a pretty common request, i've always pointed them to PS. 
Whats requested commonly actually is to change the email address the email is going to

so i proposed this feature: 

When the 'Are you sure?' pop up comes up before you send an email from a transaction, it would be cool if there was a button there to click if you'd like to make a quick edit before sending.
A button that will direct you to the send email screen, where the email that was abut to be sent is autoloaded into the fields. 

From there, you can change the fields and send the email from this screen with the changes
Thanks!!! 
 ",Available in Stock Functionality,"Zach has graciously created a catalog entry for this request.

This allows you to select contacts to email from transactions
Edit the contacts and add new contacts.
Allows you to edit the body of the email.
Allows you to also attach documents and bcc or cc anyone you need.

Please note, that the billable time to implement this is estimate at 5 hours since there are multiple considerations and tests.",87,73,286,"123,600.00",,"Phil Cote - Sept 26, 2024
A version of this has been added to the stock flows for sales transactions. We're still in the process of gradually extending the functionality to the rest of the apps' email flows, where applicable. Proposals and Purchase Transactions next on deck."
Sync Improvement - QuickBooks Projects - QB Projects,"We use PROJECTS in QBO to track job profitability and regular estimates are a different feature. Regular estimates do not allow for the imput of job costs and markup.

We need to use estimates as 'proposals' to negotiate pricing when working in opportunities. Once the customer has agreed to the price, we manually create the project in QBO based on the Opportunity/Estimate.",Cannot be customized,Cannot be customized at this time until the API is updated to support Projects.,84,79,237,"74,400.00",,
Credit Memo App,The ability to Create a Credit Memo Inside of Method,Catalog Entry Available,Solution Available in the Customization Catalog,83,66,487,"256,800.00",,
Estimate Reminder Improvement - Automated Reminders - Followup Activities,"Customer would like to automate an activity reminder for open or pending estimates based on 

1.) Expiration Date 
2.) Age of Estimate

Ideally, based on a few conditions, they would like:
1.) An Activity to be assigned to the rep  for a phone call FU
2.) An Automated email reminder for the customer

Keyworkds:
Estimate Reminders
Estimate Automation
Estimate email
Estimate Automate",X-Small (1 -2 hours),"Absolutely, customizable.

1.) We would first need to establish the rules for the automation, do we want this to occur every 'x' days or do we want it to occur once, it passes a threshold. Maybe both?

2.) From there creating the email and activity should be straight forward.

An example where this customization exists today is in Alocet where we have an automated email reminder 3, 7, and 14 days after a proposal is sent. On the 21st day, we send a notification to the Rep on file to let them know that the proposal has expired and followup with personal phone call / email.",81,70,221,"98,400.00",,"Looking into this for Activities Improvements. 
Automated reminders through activities could be applicable across many stock apps."
Ability to Convert Estimate to Purchase Order for Multiple Suppliers,This customer is planning to migrate from QBDT to QBO and want to implement this functionality where they have to manually create purchase orders for each supplier and system should allow them to select the desired line items from Estimate to pick and create PO for their respective suppliers with ease.,Catalog Entry Available,"1.) We would user preferred vendor on the item to update the default option
2.) We would create a custom field on the line item table to track the vendor
3.) We would create a custom field to link the SOLine to POLine
4.) Then we would create a simple button to then create all the POs

This process is custom and will require a lot of testing but certainly possible. ",77,65,195,"64,800.00",,
Support for a Native Telephone Integration - Support for opening customer record on inbound calls as well as automatically logging outbound calls,"Customer is currently looking at zapier to complete some of these tasks but most attempts are really just a partial solution.

Ideally the customer would love to have Method as the single source of truth for Calling, Texting and Customer Management. 

Looking to integration with Ring Central for example
VOIP integration
VOIP Calls
Customer would like a way to integrate this VOIP  so that a phonecall received will automatically popup inside Method based on contact number",Cannot be customized,While zapier can be configured a full-suite telephony solution is not available with Method.,70,67,269,"121,200.00",,
Automatic reminders for customers with overdue invoices,This customer would like the ability to set up automatic emails or reminders that can be sent to customers with past due invoices.,X-Small (1 -2 hours),"Pretty Straight forward.

Create an email template, that can be emailed / used to create the activity.
Assign it to the person assigned to the invoice / email the customer.

",67,64,253,"111,600.00",,
GeoLocation - The ability to tell an employees location - Employee Checkins,"Is Method able to retrieve geolocation coordinates from the user's mobile device?

As a moving company, it's important to understand where are employees are at any given time to help customers with ETA and when they'll be arriving.


Keywords:
Live GPS Tracking
GPS Tracking
Geo Fence
Geofence",Cannot be customized,At this time this cannot be customized.,65,56,217,"94,800.00",,
Email Integration App - Inbox Integration App - Method Email inbox,"Pipedrive’s email integration allows users to work with their emails right inside Pipedrive. Pipedrive has two different solutions for email integration: Smart Email BCC and the Sales Inbox. 

With Pipedrive’s Sales Inbox, you can manage your email account without leaving Pipedrive. You also get powerful tools like email tracking, merge fields, custom templates and signatures. Enjoy the convenience of writing and sending emails directly from your Pipedrive inbox and deal and contact detail views.

Emails you’ve sent and received are also connected and displayed in deal and contact detail views, so all communication with your customers is neatly organized and easily accessible. Save yourself typing and re-typing by creating email templates or use Pipedrive’s pre-made templates. A true time-safer. The Sales Inbox is compatible with all major email providers, including Gmail, Outlook (Hotmail), Microsoft Exchange and Yahoo.",Cannot be customized,Cannot be customized at this time.,65,60,151,"55,800.00",Team_-_Impact,
Project Management / Project Tracking / Project Tracker App,"Project tracking application creation (functional for desktop and mobile)

Project List screen
i.      Need views to show Project Status (Awaiting Kickoff, In progress, On Hold, Complete and Active (any status other than complete)
ii.      Columns – Project Name, Customer, Type, Status, Start date, End Date, Resource, Hours allocated, Hours remaining, % hours remaining
iii.      Button to add new project

iv.      NOTE: the hours remaining and % hours remaining are calculated –> Hours allocated – Hours used from the Time tracking app

Add/Edit screen
i.      Project name
ii.      Customer drop down
iii.      Area for details
iv.      Type drop down (Audit, Block of Hours, Consulting)
v.      Hours allocated
vi.      Resource Assigned drop down (Employees)
vii.      Start and end dates
 viii.      Project Status

The Project Tracking app and the Time tracking app need to be connected. 
i.      Time tracking app screen

Remove the timer option – we always enter the time manually
Remove the Service Item
Add the Project to tie it to the Project App
Total hours used has to be fed to the project tracking app for the remaining hours calculation  
 

Opportunities customization:
Add a field for Gross Profit and add to reporting (we always look at Revenue and GP)
Customize Opps reports to include Totals for the Month
i.      Total Rev and Total GP
ii.      Total Rev and Total GP by account manager
iii.      Total Rev and Total GP by product
iv.      Total Rev and Total GP by customer
",Large (10 - 30 hours),"In theory, we can likely re-use / re-purpose the opportunity app to do many if not all of these functions. This will also bring down the total cost of the project that is estimated.

However, for the full scale project below is a breakdown. 

Project Tracking App: 
-  This is mostly manual entry (I.e. create a table with the necessary fields, design screens for usability) 
- Estimate: 5-10 hours

Time Tracking: 
- Simply removing things from the screen however TT entires do sync with QB and from memory Service Item was required 
- Add dropdown to TT table and use for time retrieval in Project app 
- Estimate 2-3 hours

Opportunity Reports (assuming this the reports screen and not print reports)
- Would need a loop to iterate through every item and and a separate loop for every account manager and yet another for every customer to update individual revenue and GP numbers, can be timely unless run as an app routine and is only accurate as of the day prior
- Depending on what is used for the profit calculations, time can vary in difficulty. Is this simply Sum Invoices - Sum Bills or do they use other costing metrics (some of which may need manual entry or separate calculations I.e. commissions)
- Estimate 3-5 hours (really depending on how they calculate profit)
",64,61,133,"43,800.00",,
Mass Delete / Batch Delete / Mass Update / Batch Update,"The customer would like a batch delete button for activities; however, this customization is common for a number of functions. 

We have a helpcentre article on the process; how long should we expect this functionality to take?

Support for updating records in bulk.

Keywords:
Bulk Updating",X-Small (1 -2 hours),"Mass Deletes / Batch Deletes
- Are generally not recommended. 
- For activities we can just Batch Update Cancellation. 
- However, in some circumstances we understand this is necessary. 


Mass Updates / Batch Updates
- They generally take the same amount of time.
- Generally the process only gets complicated when we have to implement business rules.
- For example, only update customers that are active with an open estimate.
- Only update activities in the future not the past. ",59,54,325,"174,000.00",,"Looking into this for Activities Improvements. 
Managing activities should be easier give the volume of activities that are being created in accounts. Will also be considering batch activity creation for multiple contacts.
Courtney - September 30, 2024"
Gross Profit / Gross Margin - Dynamic on Screen,The customer wants to see the gross margin and profit dynamically on screen as they are creating an estimate or invoice. To make sure they're profitable when creating a transaction.,X-Small (1 -2 hours),"Pretty Simple two new fields can be on the line or transaction basis:

Gross Profit = Amount − Cost
Gross Profit Margin=  ((Amount - Cost) / Amount * 100) 

Pretty easy to calculate these fields are the transaction is created.
​",57,53,163,"72,000.00",,
Restore Entity Records - The ability to restore entities when deleted or archived - Unarchive Customer,"The customer contacted us because their record for Unity Christian School was deleted and could not be found in QuickBooks. Summary Customer's record for Unity Christian School was deleted and cannot be found in QuickBooks. Customer attempted to recreate the record in Method but it says it already exists in QuickBooks.

Keywords:
Unarchive Customer
Unarchive Lead",Support Tool Available,"Cannot be customized, however, this is a very common request.

We should +1 this ticket to better understand how often people are looking for deleted or the ability to restore records that are missing from the CRM",56,35,377,"218,400.00",,
QBO Sync Improvement - Ability to Sync & Print Cheques,Customer is interested in printing  physical cheques from Method with the ability to add a digital signature that must be signed per cheque.,Cannot be customized,"Currently cheques do not sync with Method from QuickBooks.
Therefore there is no base transaction or templates for printing cheques today.",56,52,59,"15,600.00",,
Restore Transaction Records - The ability to restore transactions when deleted or archived - Unarchive Transaction,"The customer contacted us because they could not find a deleted estimate in the system and needed assistance accessing their account and retrieving a screenshot of the quote from QuickBooks. (Estimate Q-4552 was deleted on April 7 by user Merima Muminovic. The customer has a PDF of the quote but cannot find the record in the system. The estimate was created in Method and not in QuickBooks.

Keywords:
Unarchive Estimate
Unarchive Invoice
Unarchive Sales Order
Unarchive Sales Receipt
Unarchive Payment",Support Tool Available,"Cannot be customized, however, this is a very common request. 

We should +1 this ticket to better understand how often people are looking for deleted or the ability to restore records that are missing from the CRM",55,45,427,"247,800.00",,
Import - The ability to undo an import,"It would be AMAZING and so useful to support and our customers if there was a way to undo an import

Maybe, there could be a tool that would delete recently imported data incase it was inputted incorrectly

Even if it could only be undo for an hour after the original import, this would be very helpful

Undoing incorrect imports takes up a lot of support resources.

Maybe this tool can be implemented when we improve our import processes, thanks! 

Commentary:
'Its too bad your import tool does not have a deletion option that I could use myself'


Keywords:
Undo Import
Revert Import",Cannot be customized,,53,43,242,"118,200.00",,
Invoice approval through signature,"This customer would like to have the possibility to add a signature field so that their customers can approve and sign invoices through the portal (similar to the Estimates Approval catalog).

Keywords:
Invoice Signature Capture",Small (3 -4 hours),"It's not a big job to make it work similar to the Estimate Approval piece. About 3+ hours, maybe more or less depending on how much nice-to-haves they want to build.",53,50,100,"31,800.00",,
Work Order - Job Costing / Job Profit / Job Forecasting,"- Progress Tracking by Line Item
- Cost accumulated by Line Item",Small (3 -4 hours),"This woud be a pretty simple customization. Would likely need 3 new fields for the fields that are in that screenshot (Contract amount, progress % and projected cost) in the activity table.

1 Hour -  To set up the fields on the New/Edit Contact,Edit Entity screens. 
1 Hour -  To set up the grid that she wants.
1 Hour -  To set up the calculations for if any of these fields are actually a calculation of other fields (For example  - cost could be the sum of other or bills and expenses)
1 Hour -  To  test and format the grid.

This estimate is based on the idea that the field values will be either just entered manually or are simple calculations. If it's more complicated to arrive at projected cost or progresst % for example, then the estimated hours will go up.",51,47,136,"38,400.00",,
Progress Invoices or Partial Estimate Invoicing,"Ideally the goal here is to be able to break up an estimate and invoice it as work is completed. 

The customer is open to suggestions on how this can be done for example:

1.) Tracking a % on the item that shows % complete
2.) Invoice line by line.
",Small (3 -4 hours),"Small to Medium

The workflow to convert an estimate to invoice is straight forward.
The bulk of the work occurs where you're tracking what's been invoices.
How much has been invoiced and how much is remaining.

For example if you only have a single items on an estimate, and that item reads construction. You might want to track the progress as a % and bill for 20% of that line item in 5 increments.

The devil is in the details and how the tracking is completed and reported on. ",50,46,181,"81,000.00",,
Kanban Widget - Opportunities by Stages Visually - Kanban Board,This customer would like to have the option to organize his opportunities in a format similar to that of a kanban board as this would make it easier for him to visualize the stages and maximize his efficiency.,Should not be customized,"In theory, we have done this by using multiple grids. 
Where each grid represents a stage in the opportunity flow. 

The grid then has the ability (a button) to move from one grid to another, working like a pseudo kanban board. 

This is obviously not ideal but workarounds are available if the customer is interested in investing in a more visual flow.",50,48,84,"19,200.00",Team_-_Impact,
App Routines - Invoice Aging column | Days Overdue | Outstanding Invoices,"Add an Aging column to this grid view on the Invoices list. This column would show how many days overdue the invoice is, and the grid would typically be sorted by oldest overdue invoice at the top.

This could be implemented via app routines. A process could run once a day (ideally in the early morning) to determine how many days overdue these invoices are. 

We could then force show this aging column when the user selects the Overdue Invoices filter view.
",Catalog Entry Available,"This could be implemented via app routines. A process could run once a day (ideally in the early morning) to determine how many days overdue these invoices are.
Loop through table + Date Difference + Update Fields in Table

We could then force show this aging column when the user selects the Overdue Invoices filter view.",49,45,273,"138,600.00",,
Item Pictures - Add Picture to Line Item on Transactions,We have received requests to add a picture per (specified) items so the visual is available when the SalesRep selects the item on Invoice/Estimates.,Small (3 -4 hours),"Note: The number of items wont add to the time, because we can set it up so they can add the images themselves

2 Workflows:

1. Add a text field
2. Track the URL where the image has been uploaded (custom website etc.)
3. Use HTML to render the image on screen / in a report

----

1. Add picture Field to the item table to allow for image uploads on items
2. Expose picture field on Inventory, Non-Inventory, Service item screens
3. Add a button on the editable grid to show message - Show message retrieves image and displays it when button is clicked

",48,45,138,"55,800.00",,
Public Page Improvement - W2L - Web to Lead Improvement - Support Calendar on Public Pages to be able to take Bookings - Booking Calendar,"Using the web to lead form, add the ability for a visitor to select a date/time slot from a calendar to book an appointment.

Similar to how we use youcanbook.me

Customer Quote:
'I guess that's why you guys use youcanbook.me for your appointments'",Cannot be customized,"At this time, there is no elegant solution or option to help solve this problem today.",48,43,118,"41,400.00",Team_-_Impact,
Automate Scheduled Emails - Deliver Emails Based on  Scheduled,Customer is wondering if we can post date email campaigns and automate the delivery base on a schedule.,Small (3 -4 hours),"Yes, this is certainly possible.

How they are scheduled and the number of emails will certainly impact the complexity and time estimate.

For example, our proposals app is scheduled to send reminders automatically every 7 days and cap out at a maximum of 3 reminders.

Of course, this can always be tweaked managed differently. That said, Method can imitate email automation suites; however, the customer should evaluate if customization is as cost effective as using other solutions or Emailing Suites that help better manage different pathways, cadences, and monitor analytics to drive behaviour.",47,43,108,"52,800.00",,
Change Sort Order - Line Order on Transactions,"Ability to change sort order of items on Sales Orders

- He is aware this will be Method:CRM only sort order, and these changes will not reflect the sort order of items in QuickBooks. 

- Sometimes, when creating Sales Orders, a customer requests an item at the end of the order, but the item needs to be ordered/displayed higher up in the items list. 

- Currently, they need to remove all items up to that part, and then add the new item and re-enter the items they removed. 

- They would like to add an item to the middle of a sales order, and have this order reflected internally on the Sales Order screen, print out, as well as in the portal. 

Keywords:
Move Lines
adjust line item
rearrange items",Small (3 -4 hours),"This is a pretty common request and quite simple to add.

1. Add MethodLineOrder to Sales Order Lines table
2. Add MethodLineOrder as a column on the New/Edit Sales Order screen
3. Adjust the Sales Order Lines editable grid's sort order to look at MethodLineOrder instead of LineOrder
4. Adjust the Sales Order Line's grid's sort order to look at MethodLineOrder instead of LineOrder
5. On Create Invoice screen, update the Create button's logic to add Invoice Lines following MethodLineOrder instead of LineOrder
6. Update their Sales Order PDF to print the Sales Order Line by MethodLineOrder and not LineOrder
7. If the customer is using Sales Orders in the Customer Portal, make sure to update the grid to sort by MethodLineOrder and not Line Order

The complex part is what the custom may expect when changing the MethodLineOrder. If they are not okay with manually changing every line's MethodLineOrder we then need to ask the following which will balloon the Estimated Time. 

1. When adding a Sales Order Line to an existing Sales Order, do they expect the MethodLineOrder to be added in sequence? Or should they manually enter the MethodLineOrder?
2. What do they expect to happen when deleting a Sales Order Line to an existing Sales Order, then adding a new Sales Order Line?",46,44,264,"126,600.00",,
Portal - Customer Facing Document Centre,"Hello PS!

I have a customer who's looking to have document management solution in Method. She's also wants her customer to be able to access this through the portal. 

",Medium (5-10 hours),"Base Requirements ( ~ 8 hours) 
 
*Internal Screens*
-	1. Add a new table to hold documents and link them to customers. 
-	2. Add a new section on Edit Entity or a brand new screen where the documents for each customer will be uploaded. This will be dynamic, which means you can add as many documents as you wish for each Customer. 
 

*Portal Screen* 
-	Next step will be to add a new guest screen  where each customer will access a list of all documents provided to them


===========================================
Additional components (This will increase your project time)
 
-	Have a preferences screen where you have a list of the most common documents that you provide to your customers( this could be a catalogue, an agreement, …) so you can select from this list (or select to add a separate document ) (~3 - 4 hours)
-	Have the ability to check if the documents have been viewed or not.  (~2 hours) 


",45,42,90,"27,000.00",,
Improve Admin Capabilities - Allow the Admin to edit User Settings - Allow the Admin to Edit Sign-in Emails,Peter had invited his user Tom. He made the mistake in using Tom's personal email. He wants to edit the Sign in email to be something else but this is not editable (even for Admin). Peter is forced to deactivate the user > Set up new Tom with a new email > Peter's feedback for how this currently works: 'It seems a bit clumsy to have to delete him and start over.',Cannot be customized,Cannot be customized at this time.,45,38,395,"220,800.00",Team_-_Admin,Invited users only - Arshi June 24 2025
Simple Price Rules / Price Levels (Method Only),"Custom Method Only Price Rules

1.) Fixed Percentage (% discount on everything)
2.) Quanity Based Discount (based on volume get 'x' price)
3.) Customer Specific Pricing (based on customer & item combination)

*** Note the customer will input pricing and price levels based on their need.",Small (3 -4 hours),"Price Rules are complicated

This estimate assumes:
1.) They are not using Price Levels in QBDT 
2.) They are not using Price Rules in QBO (equivalent to Price Levels in QBDT) - We don't sync with these. 

===================

Price Rules can be very basic (Option 1)
1.) Create a custom table where the rules can be managed
2.) Create a screen where the rules can be edited
3.) Setup the format for the rules -- Fixed Percentage (5%, 10% or 20%)
4.) Every time an estimate, sales order, invoice is created.
5.) We would need to incorporate this into the item text change event. 

===================

Price Rules based on Quantity (Option 2)
1.) Create a sub-table to the item table 
2.) Setup the different levels and pricing for the item (0-5, 6-10, 10-20, 20+) 
3.) Every time an estimate, sales order, invoice is created we would need to evaluate the quatity and apply the correct sales price
4.) We would need to incorporate this into the item text change event & quantity changes

===================

Price Rules based on Item & Customer (Option 3)
1.) Create a sub-table to the customer table with a link to the item table 
2.) Setup the different items  and pricing for the item for the customer
3.) Every time an estimate, sales order, invoice is created we would need to evaluate the custom table see if the selected customer has specialized pricing use that sales price. Else, we'd default to the default item sales price. 
4.) We would need to incorporate this into the item text change event & quantity changes",43,43,178,"86,400.00",,
Reset Transactions Numbers - Custom Transaction Numbers or Numbering,"Client wants to customize custom transaction numbers. 

They use 2 different platforms that both sync into QB and want to be able to identify the Invoices coming from Method:CRM. 

Want the transaction to start with SNT-(regular sequential number)

Custom Transaction Numbers 
Custom Numbers
Custom Numbering",X-Small (1 -2 hours),"Quite simply,

We would need to keep a running count of all transactions.
Then if the transaction is created with Method we would create:

METH-1
If another system

SNT-1
Etc.",43,39,309,"167,400.00",,
Make Email Templates easier to Customize,"My Dedicated Customer has a marketing team that is heavily relying on Email Campaigns in Method. However they find it extremely difficult to use and customize email templates with our current system. I frankly concur, on the Email Campaign 

The email on the HTML Editor never matched what the preview of the email was and when the email was sent, instead of matching the preview, it matched the HTML editor. My Customer and I were extremely frustrated about this. I had to spend 2 hours of billable time and my customer spent 8 hours of her billable time researching and learning html all to try to get text wrapping around a picture and to have it appear a certain way when emailed to a customer. 

I don't think a customer should have to learn HTML to create a basic email template.",X-Small (1 -2 hours),"Email design is complicated and can take time, as per the commentary above Email Templates will take a minimum of 1-2 hours to design depending on the complexity.

We should certainly review improving our email creation and capability.",42,36,123,"64,200.00",,
SMS Improvement - The ability to set a reply-back number - Support 2-way SMS,Customer want's to use SMS 2 way to interact with their customers about the work that is scheduled or an upcoming visit.,Cannot be customized,"Cannot be customized at this time.

The only real option is to include a phone number in the SMS body informing the user what number to text back.",41,40,113,"32,400.00",,
