Cancellation Reason Explanation,Team,GPT Category,Sync Type,Vertical,Sync Region,Cancellation Date
I am still waiting for the QBO account to be released from Accounting.  Without QBO I cant go past your sync request page.,Connect,Integration Needs,QBO-V3,Consulting and Professional Services,US,10/3/2024
"Please cancel our account.  Ive given it some thought and we really arent using it to justify it for right now.

Customer no longer employees an active sales team but will revisit if the business expands in the future",Sales,Timing and Readiness,QBO-V3,,CA,3/28/2024
"The customer finds the Opportunities feature in Method CRM cumbersome and not user-friendly, especially since they lack an in-house sales team to delegate tasks. The repetitive workflow of creating opportunities, navigating to activities, manually entering conversation summaries, and setting follow-ups is seen as time-consuming and counterproductive, leading them to prefer managing their family business using an iPhone calendar.

While they acknowledged that the catalogs we were going to install could have added value, the primary reason for their cancellation is the burdensome process of managing conversations and follow-ups within the CRM.",Sales,Product Fit,QBO-V3,Wholesale and distribution services (MWD),US,9/6/2024
Too complicated and finnicky to customize.,Customer,Customization and Flexibility,QBO-V3,"Non-profit, govt or religious organization",US,12/18/2023
This app is too involved for our small business.  We truly just need a scheduling app for 1 field service tech.,Service Delivery,Product Fit,QBO-V3,Field Services,US,5/25/2024
Not a good calendar type of schedule.,Service Delivery,Product Fit,QBO-V3,"Automotive parts, repair and maintenance",US,4/29/2024
Could not customize the estimates template,Customer,Customization and Flexibility,QBO-V3,Software,US,7/31/2024
"Brian is pen and paper, boots on the ground type. Time was always a constraint. From initials conversation with our Varc Partner Adam, to first demo, they are looking for something thats ready built and doesn t require a lot of setup, Method s QB integration got us that chance.

Brian and his team did their part with heavy usage during the trial but this also led to a long list of customization. 

Customization isn t the issue, but most of Brian s requests are duller and in his opinion, should be stock features or at most, preferences.

Lastly, from our VARC champion  Brian seems to be looking for an off-the-shelf product at the lowest price point... something that may not yet exist in the market.  

A strong winback candidate",Customer,Customization and Flexibility,QBO-V3,Field Services,US,12/12/2023
"Customer has experienced a number of sync issues over the years.

The major factor is that Leads when converted to customers were not syncing to QuickBooks. 

This is likely his feedback on  over and over again . They were heavily impacted by this for their lead management.",Connect,Technical Issues,QBO-V3,Retail,US,6/8/2024
Your  software did not sync to my QB Enterprise Desktop.  I needed help and no one contacted me though I scheduled an appointment.,Connect,Communication Issues,QBO-V3,Wholesale and distribution services (MWD),US,2/18/2024
I am still waiting for the QBO account to be released from Accounting.  Without QBO I cant go past your sync request page.,Connect,Integration Needs,QuickBooks,Equipment rental and leasing,,10/3/2024
"Originally cancelled on Tuesday, September 24, 2024. Was reinstated to review account 
Customer Reason: We re not financially ready for the CRM at this time.

---------------------
They have decided to transition to Zoho CRM for several reasons, which they outlined during our discussion:
Cost Considerations: They indicated that the subscription costs associated with Method were beyond their budgetary constraints.
No Need for QuickBooks Syncing: He stated that they did not require integration with QuickBooks, and wanted to use a CRM for lead tracking and Work order management. We customized the Time Tracking entries to stay within Method and never sync to QuickBooks but they wanted a simpler solution.
Simpler Field Service Management: They preferred the Field Service Management features offered by Zoho, finding them more straightforward and aligned with their operational requirements.
During our conversation, I reviewed the customizations we had implemented specifically for their workflow, as well as the potential benefits of having user training to get everyone aligned. They were adamant that the cost associated with using Method was beyond what they envisioned paying for a CRM platform.

2:47 PM
Tahjani has been the main point of contact since he joined Green Light Power inc. a couple months ago. I was unable to get a hold of Paul Rivera, but I emailed him about this.",Service Delivery,Pricing and Budget,QBO-V3,Construction,CA,9/25/2024
"too complicated to set it up the way I want it to work.  counterintuitive processes from how I work within QBO.  Frustrated all the time running into the things that aren't right, having to call it to customize it, and I just don't have the time to learn and get frustrated over and over again.",Customer,Product Fit,QBO-V3,Construction,US,11/25/2024
the inventory management portion of the platform (main feature i'm looking for) is not sufficient for what I am doing.,Sales,Product Fit,QBD,Wholesale and distribution services (MWD),US,10/5/2024
"Hello-I ordered about $1k of customization, primarily to mimic some stuff we could do in QB Desktop that we couldn't do in QB Online (Client migrated to QBO last year); the team was responsive and did what we asked, but once we were using Method in practice, it was too buggy / cumbersome and kept requiring more and more customization.

If we were willing to spend more money it may have gotten to a usable state, but we were limited in what we were going to pay (see below) and felt like we were trying to force it.  We ended up switching to a purpose-built contractor solution instead.

Biggest dissatisfier was the fact that estimate line items were stuck in place once created; we routinely get asked to add items to estimates, that would include inserting rows between other rows/rearranging line items; it happened frequently enough that it couldn't be ignored.  This is feature is available in QBO, but not Method.  When i asked, it was offered as another customization.

I was paying the customization myself on behalf of client thinking this would save him money in long run, but it was so frustrating for him i ended up eating cost personally-not something I can absorb too frequently.

Team was friendly and tried to be helpful; i appreciate them ....but I should have done more due diligence up front on the tool than hoping that a limited amount of customizations would get us where we needed to be.

Thanks.",Sales,Customization and Flexibility,QBO-V3,Construction,US,3/13/2024
Never used by sales reps,Sales,Customer Adoption,QBD,General product based,US,7/9/2024
"Our company subscribed to Method based on the demo that we did with Harsh. Unfortunately, we waited for many weeks for our customization while continuing to pay for Method. Once the customization was completed, at a significant cost, our users still had issues with using Method. I wanted to keep one CRM (contact management) license. However, I did not see a way to do so.",Customer,Customization and Flexibility,QBO-V3,Manufacturing (MWD),US,5/14/2024
I need to change Qb files.,Connect,Integration Needs,QBO-V3,Telecommunications,US,10/30/2024
I found Zoho CRM more flexible to customize,Customer,Customization and Flexibility,QBO-V3,Consulting and Professional Services,US,11/20/2024
I like the platform and customizable idea- just don't have the time to figure it all out as a one person shop.  I went with Jobber- plug and play and fits my needs in general (except price!),Service Delivery,Timing and Readiness,QBO-V3,Field Services,US,7/26/2024
Unable to plan routes with the calendar,Service Delivery,Product Fit,QBO-V3,Home Watch,US,6/24/2024
"Spoke with Ethyn:

They switched to https://www.cin7.com/

Reason for Switching to Cin7:

- Cin7 meets 90-95% of their requirements.
- It provides robust inventory management.
- Bill of Materials tracking is crucial for them and comes standard with Cin7.
- Cin7 includes a built-in CRM that syncs seamlessly with QBO.
- While Method CRM can handle many of these needs, it requires customization.


Pricing Comparison:

- They’ll pay $300/month for user subscriptions to Cin7.
- Customization, training, and onboarding with Cin7 is a one-time charge of $800.",Connect,Product Fit,QBO-V3,Other,US,8/14/2024
"Please cancel any and all accounts or trials. 
I am no longer using QB and I was looking for a standalone Invoicing and Scheduling app but it looks like Method only works in tandem with QB.",Growth,Integration Needs,QuickBooks,Field Services,,1/10/2024
We needed our communications to be logged automatically between our sales team and leads. The manual addition of incoming emails is not going to work for us.,Sales,Product Fit,QBO-V3,Retail,US,1/16/2024
Calendar not very usable.,Service Delivery,Product Fit,QBO-V3,Property management or real estate,US,4/28/2024
"Method served us well for several years and we appreciate both your software and service team.  We decided to instead use a cloud software system that is specifically designed for music schools.  It has a wealth of features specific to scheduling and billing music school students that would be impractical to implement and customize in Method.  Again, you have a fine product that provided us good service, which is much appreciated.

Rick Shapiro",Customer,Product Fit,QBD,Education or Tutoring,US,1/26/2024
Website looked good but app is not mobile friendly. As a painter I mostly am in the go and need a good working mobile app for a crm,Service Delivery,Product Fit,QBO-V3,Field Services,US,3/4/2024
"My needs are very simple, being a one-person company in a re-growth phase. I don’t see the method as a solution that works for me in my current situation. Should things change, I would undoubtedly refer back to the method. But at this time, I wish to cancel, effective immediately.

He needed 2 things in Method CRM:
1) Ability to process refunds from Method CRM (Customization workflow)
2) He did not want to spend any $$ on customizations",Customer,Product Fit,QBO-V3,Printers,US,4/23/2024
The system is hard to navigate and not being able to edit items in the system without paying for assistance from a method employee does not work for me.,Customer,Customization and Flexibility,QBO-V3,Construction,US,1/16/2024
Synced to wrong QBO file.,Connect,Integration Needs,QBO-V3,"Financial, Insurance or Legal Services",US,3/26/2024
"Creating a new account because the QBO account was hacked. So they have a new QBO file now and we are creating a new account to the new file.Once the new QBO-Method is setup, we are reaching out to Shane to transfer the billing information to the new account.",Connect,Integration Needs,QBO-V3,IT and computer related,US,10/16/2024
Issues with the estimates feature.  It reported the deposit as being paid when the payment was never made by the customer.,Sales,Product Fit,QBO-V3,Accounting and Bookkeeping,CA,1/9/2024
please remove my information from method app. i went with different company .  Service fusion,Service Delivery,Product Fit,QBO-V3,Field Services,US,4/17/2024
"too complicated to customize, poor UI",Customer,Customization and Flexibility,QBO-V3,Consulting and Professional Services,US,6/17/2024
recurring donations from quickbooks would not download- I need to create year end donations from 2023 and found another app that would integrate the pledges,Transactions,Integration Needs,QBO-V3,"Non-profit, govt or religious organization",US,1/6/2024
We cancelled our account in QuickBooks. I no longer have access to it.,Connect,Integration Needs,QBO-V3,Wholesale and distribution services (MWD),US,11/19/2024
Unable to sync with Quick Books and no one could resolve the issue.,Connect,Technical Issues,QBD,Other,US,2/21/2024
"The customer support was wonderful, just not the right platform for us.  Need more inventory management features.",Sales,Product Fit,QBO-V3,Manufacturing (MWD),US,8/26/2024
"went with housecallpro. 

Pricing and SMS commmunication were key

I reaffirmed them that we had a chance to demo our product, it would have been a check on all boxes and if the wind ever changes directions, we look forward to it.",Service Delivery,Pricing and Budget,QBO-V3,General service based,US,3/12/2024
"The setup process, which was promised to be seamless, turned out to be anything but. Despite assurances from Harsh that the CRM could cater to all our needs, the reality was far from it. Our initial complementary call with the designated setup assistant proved to be a significant letdown, as it became evident that he did not comprehend our requirements. Consequently, the work completed was not aligned with our explicit instructions. On top of that further assistance would be billable at an hourly rate, an arrangement that felt far from ideal given the poor handling of the complimentary setup.

We encountered additional challenges with several leads struggling to accept proposals sent through the Method platform and make payments for services. Attempting to address these issues with the support team or Harsh proved to be equally frustrating. Our attempts to seek resolution were met with either outright neglect or unhelpful responses, leaving us feeling unsupported and exacerbating the negative impact on our company's image.

Given the substantial issues we faced, coupled with the lack of responsive support, we no longer had confidence in using Method to manage our leads and clients. The only decision we felt comfortable making was to discontinue our reliance on Method CRM.

In summary, our experience has been marked by unmet promises, inadequate support, and a significant negative impact on our business operations. We hope this feedback prompts a reconsideration of your service delivery and support processes.","Transactions,Sales",Communication Issues,QBO-V3,Consulting and Professional Services,US,2/1/2024
"Customer is in the event/venue vertical. 

Overall, the biggest obstacle was the google calendar integration. 

They were guided to the stock Google Calendar integration as an avenue to connect with 3rd party booking sites to block/show available dates. 

The Method Google Calendar integration has a 6 month limitation and this was a major hurdle since 6 mo is almost never enough time for a wedding venue.",Connect,Integration Needs,QBO-V3,Food and beverage,US,8/14/2024
doesnt sync with my erp,Connect,Integration Needs,QBO-V3,General product based,US,9/7/2024
Workorders are not as organized as we would like to see. We are using another platform instead.,Service Delivery,Product Fit,QBO-V3,Construction,US,10/8/2024
The piecemeal nature made it hard for me to comprehend what I needed from this.,Customer,Customization and Flexibility,QBO-V3,Manufacturing (MWD),US,5/7/2024
"Hi Harsh,

 

The programing and job costing functionality is not going to work with my workflow. I’m trying to avoid double entry data, not create more.

Field crew can’t be programed to the way I want it either. As there is no payroll integration or reporting available so that’s a bust. Its just not a good fit.

Method has been the closest so far but Field crew needs a ton of work in my opinion.

 

 

 

Regards, 

 

Chris Jones | Owner/Operator",Service Delivery,Product Fit,QBO-V3,Construction,CA,5/22/2024
"We could not receive inventory, aisle and bin did not come over from Quickbooks.   The templates were difficult to customize.",Connect,Integration Needs,QBD,Wholesale and distribution services (MWD),US,9/9/2024
it does not sync with quickbooks,Connect,Integration Needs,QBD,Other,US,3/8/2024
For the current phase we will go with Zoho until we finish the customization for Odoo.,Customer,Integration Needs,QBO-V3,Other,AE,5/27/2024
"Part of the challenge is limitations with QBO. We need a full end to end process for Opportunities > Sales Orders > Purchase Orders > Work Orders > Inventory Tracking by Location > Shipping Releases > Invoicing, etc. 

I know method does most of this but it’s not synced back to QBO and then things get disconnected. We decided to implement Oracle NetSuite.",Sales,Integration Needs,QBO-V3,"Mining, Oil and Gas",US,4/3/2024
"None of the help worked. I think Method should really focus on providing services to clients to make sure things are working.

-----

The main reason we bought Method last year was because of trying to automate billing and handle the whole invoicing flow.
Projects get signed, SOWs get signed.
Projects get created and tracked.
Thirty days before projects are completed, an invoice should be sent out
I crafted a very detailed list of things that the system has to do. We spent hundreds of dollars on custom programming with the Method team. Here is my feedback:
The custom programming was very expensive.
The service for the custom programming was disappointing for the amount of money per hour.
Because everything was so hurried, the custom programming never finished, never got tested, never got put into production.  My expectation is for mission critical applications like billing, that there are phases and gates
Requirements
Implementation
Testing
Roll-out
Therefore we were not able to use the Method platform.",No Code,Communication Issues,QBO-V3,Consulting and Professional Services,US,9/10/2024
