Cancellation Reason Explanation,Team,GPT Category,Sync Type,Vertical,Sync Region,Cancellation Date
no longer using,,Timing and Readiness,QBD,Wholesale and distribution services (MWD),US,10/17/2024
I just don't need it right now. I will be back maybe. This isn't going to work with the subscription I am going to need with Right networks.,,Timing and Readiness,QBD,Wholesale and distribution services (MWD),US,7/31/2024
"The interaction between QBOu * <,method is not seamless.  Method would maintain a numbered order for Estimates,, invoices, or PO's.  In essence doubling some clerical work too keep accounting accurate.",,Integration Needs,QBO-V3,Wholesale and distribution services (MWD),US,5/27/2024
You didn't. We just are unable to budget the expense at this time.,,Pricing and Budget,QBO-V3,Wholesale and distribution services (MWD),US,8/22/2024
I am simply not using your services. Once we get allot bigger we will be back.,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),CA,5/23/2024
on a budget,,Pricing and Budget,QBD,Wholesale and distribution services (MWD),US,7/14/2024
"I havent had the chance to contact you regarding my payment info update. I rechecked my card info on the method account and it is correct. However, I am sorry to inform you that I will no longer need your CRM service. My company has decided not to implement a CRM at this time. This decision was on the basis of internal reasons and not your company services.",,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),TT,6/13/2024
You didn't .. We have new software (Netsuite Oracle) with Sales Force...,Sales,Product Fit,QBD,Wholesale and distribution services (MWD),US,1/17/2024
Wasn't using it enough.,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,2/27/2024
"The customer finds the Opportunities feature in Method CRM cumbersome and not user-friendly, especially since they lack an in-house sales team to delegate tasks. The repetitive workflow of creating opportunities, navigating to activities, manually entering conversation summaries, and setting follow-ups is seen as time-consuming and counterproductive, leading them to prefer managing their family business using an iPhone calendar.

While they acknowledged that the catalogs we were going to install could have added value, the primary reason for their cancellation is the burdensome process of managing conversations and follow-ups within the CRM.",Sales,Product Fit,QBO-V3,Wholesale and distribution services (MWD),US,9/6/2024
"My team is just not ready to integrate with another system just yet. We are working on our own shipping platform, then we will look into this again.",,Timing and Readiness,QuickBooks,Wholesale and distribution services (MWD),,6/20/2024
d,,Not Categorized,QBO-V3,Wholesale and distribution services (MWD),US,3/9/2024
We love Method but unfortunately our company will be closing,,External Factors,QBD,Wholesale and distribution services (MWD),US,6/12/2024
Your  software did not sync to my QB Enterprise Desktop.  I needed help and no one contacted me though I scheduled an appointment.,Connect,Communication Issues,QBO-V3,Wholesale and distribution services (MWD),US,2/18/2024
j,,Not Categorized,QBO-V3,Wholesale and distribution services (MWD),US,2/2/2024
down sizing sales team,,External Factors,QBD,Wholesale and distribution services (MWD),US,8/6/2024
"Just did not like the interface. Did not feel like a CRM integrating with an accounting software, but like a hybrid - but not enough of the sales element. interface felt very old.",,Product Fit,Xero,Wholesale and distribution services (MWD),GB,6/11/2024
the inventory management portion of the platform (main feature i'm looking for) is not sufficient for what I am doing.,Sales,Product Fit,QBD,Wholesale and distribution services (MWD),US,10/5/2024
dont need anymore,,Timing and Readiness,QBD,Wholesale and distribution services (MWD),US,8/16/2024
"This is a very old account that we didn't realize was still active until someone in our billing department mentioned it.

We are keeping our primary account with 20 users but this single user account can be cancelled.",,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,12/11/2023
I want to set up a new account for a new test file.,,External Factors,QBD,Wholesale and distribution services (MWD),US,3/13/2024
Found other service provider for less cost,,Pricing and Budget,QBO-V3,Wholesale and distribution services (MWD),US,12/28/2023
You've been great - thanks.  My business is failing and I need to save money.,,External Factors,QBO-V3,Wholesale and distribution services (MWD),GB,3/14/2024
We do not use this service.,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),CA,7/24/2024
"I did not realize there is no ordering for self-service and order submission by the customer for my dealers/company customers to automate my system. I have found a better option. Because a customer portal was advertised, I misunderstood.

Thanks",,Product Fit,QBD,Wholesale and distribution services (MWD),US,2/3/2024
Didnt use,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,9/6/2024
We cancelled our account in QuickBooks. I no longer have access to it.,Connect,Integration Needs,QBO-V3,Wholesale and distribution services (MWD),US,11/19/2024
We have transistion to Netsuite and will no longerneed method services,,Integration Needs,QBD,Wholesale and distribution services (MWD),US,1/8/2024
i thought it was suppose to be able to send texts messages and it was not full circle enough for me since you couldn't see the reply and also to cumbersome to use for email back and forth tried for 1 day top get it to work and still nothing.,,Product Fit,QBO-V3,Wholesale and distribution services (MWD),US,2/29/2024
Was not a right fit for our team,,Product Fit,QBO-V3,Wholesale and distribution services (MWD),CA,9/10/2024
too much for right now,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),CA,2/22/2024
change in plans,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),PH,2/22/2024
"We could not receive inventory, aisle and bin did not come over from Quickbooks.   The templates were difficult to customize.",Connect,Integration Needs,QBD,Wholesale and distribution services (MWD),US,9/9/2024
"we are moving to GoHighLevel since we are using it for other stuff, to stream line.",,External Factors - Competition,QBO-V3,Wholesale and distribution services (MWD),US,3/5/2024
"There is nothing wrong with Method.  We just dont use method and we are not going to in the near future.  I was going to let our contract time out for the year.  And not renew it.


Multiple attempts for additional training but they have declined and would like to cancel",,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,10/10/2024
I have not been able to use the platform much but may try again in the future.,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,4/3/2024
To complicated not easy to use,,Customization and Flexibility,QBO-V3,Wholesale and distribution services (MWD),CA,3/8/2024
Interface with quickbooks was quirky and needed help to often.,,Integration Needs,QBD,Wholesale and distribution services (MWD),US,11/5/2024
"Data import was not accurate
Custom reports are difficult
method updates QB as priority; rather than the opposite.
even simple  customization  cost consulting hours - features that are usually  available in other CRMs  ie:  mass deletes,  mass updates",Customer,Customization and Flexibility,QBD,Wholesale and distribution services (MWD),US,8/6/2024
"too expensive for others is cheaper or free, is not a must have app is just a little tool.",,Pricing and Budget,QBO-V3,Wholesale and distribution services (MWD),US,12/18/2023
g,,Not Categorized,QBO-V3,Wholesale and distribution services (MWD),US,12/20/2023
No longer using it,,Timing and Readiness,QBD,Wholesale and distribution services (MWD),US,8/23/2024
"Did not use the trial, will start new trial today",,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,4/25/2024
We just did not like it. system did not meet our expectations,,Product Fit,QBO-V3,Wholesale and distribution services (MWD),US,11/7/2024
Found a better alternative,,Product Fit,QBO-V3,Wholesale and distribution services (MWD),US,7/10/2024
not now,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),CA,11/20/2024
not actively using,,Timing and Readiness,QBD,Wholesale and distribution services (MWD),US,11/20/2024
I switched to another software.,,Product Fit,QBD,Wholesale and distribution services (MWD),US,6/27/2024
XXX,,Not Categorized,QBD,Wholesale and distribution services (MWD),US,7/17/2024
"Hard to use, hard to learn, needed 3rd party programmer, facilitated some processes but still very time consuming. Was not utilized by the team. Making changes to the business so no longer needed.",,Customization and Flexibility,QBD,Wholesale and distribution services (MWD),US,5/16/2024
your mom,,Not Categorized,QBO-V3,Wholesale and distribution services (MWD),US,4/18/2024
na,,Not Categorized,QBO-V3,Wholesale and distribution services (MWD),AU,2/6/2024
Can’t have both retail and wholesale per item in point of sale,,Product Fit,QBO-V3,Wholesale and distribution services (MWD),AU,9/9/2024
It seems to be a bit more complicated for our needs than needs to be.  I also beta tested the ordering system and our current ordering system seems to resonate better with our customers at this time.,,Product Fit,QBO-V3,Wholesale and distribution services (MWD),CA,6/24/2024
Daniel doesnt have QB,,Integration Needs,QBO-V3,Wholesale and distribution services (MWD),,1/18/2024
TOO EXPENSIVE,,Pricing and Budget,QBO-V3,Wholesale and distribution services (MWD),US,5/23/2024
We were able to renegotiate with our current service and will be staying with that platform (Netsuite) for at least another 5 years.,,External Factors,QBO-V3,Wholesale and distribution services (MWD),,1/2/2024
Don't use,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,8/2/2024
"They tried but they dont think it is a perfect fit and it seems very CRM focused for them and they dont want to move further.

I offered the demo and tried to get more infirmation but they just dont need it.",,Product Fit,QBD,Wholesale and distribution services (MWD),CA,11/26/2024
More QB issues than you,,Integration Needs,QBD,Wholesale and distribution services (MWD),US,8/21/2024
"I chose not to continue using your services as they did not meet the efficiency expectations set during the initial discussions.

In reality:

1) Conducted multiple training sessions with Dana and Chris (sales rep) to ensure they understood the product and could succeed with it.
2) She hired and subsequently let go of multiple sales representatives.
3) Needed basic functionality, such as Activities and receiving payments by cheque and cash—features we covered thoroughly during training.
4) Required lead management capabilities but struggled to generate enough leads through her sales team to make the cost of Method CRM worthwhile.",,Customer Adoption,QBO-V3,Wholesale and distribution services (MWD),US,11/18/2024
Was trying to delete all data to setup a new import but customer service kept looping me around. Desperately trying to get this to work for me since it's the easiest solution with Quickbooks but also want to do it the way I feel most comfortable since i'm such a novice at this. Don't feel like customer support cared to help me solve my problem but instead pushed their own agenda.,,Product Fit,QBO-V3,Wholesale and distribution services (MWD),US,5/27/2024
we don't use.  Too much time for set up to integrate with our existing systems,,Customization and Flexibility,QBO-V3,Wholesale and distribution services (MWD),US,11/17/2024
I requested a cancellation of my trial account. It has been cancelled.,,Timing and Readiness,QBD,Wholesale and distribution services (MWD),US,3/17/2024
Too Expensive for CRM,,Pricing and Budget,QBO-V3,Wholesale and distribution services (MWD),GB,10/13/2024
Moved to an all inclusive plate,,Product Fit,QBO-V3,Wholesale and distribution services (MWD),US,1/7/2024
Just isnt what we are looking for. We are going to stick to excel sheets and simple solutions as we are a small business.,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),CA,1/17/2024
"Need to switch to a mmore powerful crm/erp.

The QuickBooks integration was not as advance as we needed.",,Customization and Flexibility,QBD,Wholesale and distribution services (MWD),CA,1/31/2024
I am actually pretty happy with Method. I just want to start fresh now that I have had a chance to work with it for a few days.,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,3/7/2024
Purchased a ERP/CRM system to replace QuickBooks and Method,,Product Fit,QBD,Wholesale and distribution services (MWD),US,7/24/2024
Not as functional as other crms,,Product Fit,QBD,Wholesale and distribution services (MWD),US,8/2/2024
Method Sync Engin is horrable,Connect,Integration Needs,QBD,Wholesale and distribution services (MWD),US,9/16/2024
stopped using it,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,1/25/2024
Not using it anymore,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,5/13/2024
no longer needed,,Timing and Readiness,QBD,Wholesale and distribution services (MWD),US,10/7/2024
just no longer need the services and are going another direction.,,Timing and Readiness,QBD,Wholesale and distribution services (MWD),US,8/30/2024
We aren’t using method. We find the functionalities limited unless we pay for customizations. The system lacks many features and isn’t very intuitive or user-friendly.,Customer,Customization and Flexibility,QBD,Wholesale and distribution services (MWD),US,4/26/2024
He began another FT with the correct QB file,,External Factors,QBO-V3,Wholesale and distribution services (MWD),US,5/7/2024
WE are not ready to implement right now.,,Timing and Readiness,QBD,Wholesale and distribution services (MWD),US,10/3/2024
