Question,PrimaryTeam (from Components) (from Specific),Specific,General Category,Summary
The customer contacted us because their paid invoices were still showing a balance and not generating in QuickBooks due to sync conflicts and errors with certain items.,"Connect,Transactions","sync conflicts,invoices",general support & issue resolution,"• Invoices 31166 and 31167 were paid but still show a balance and did not generate in QuickBooks.
• Invoices are in sync conflict due to error with items ''Alpha Large Clipper Mat (ALP4MATT)'' and ''Alpha Show Lead Pink (ALP-SL-PINKJJ)''.
• Item ''3324'' is also in conflict due to closed accounting period.
• Temporary solution is to change accounting period in QuickBooks and recreate items.
• Recreated items were successfully synchronized and invoices are now displayed as paid.
Chat Link"
The customer contacted us for help with Method and to discuss customization options for line item discounts on estimates.,,stockapps how-to,how-to,"Nathan needs help with Method and can contact the team through chat or email.
He wants to see line item discounts on estimates rather than a discount on the entire estimate as a percentage.
The team offers 1 hour of free customization with an in-house consultant to help with this.
Nathan will gather more ideas before setting up a meeting for customization.
The teammate offers further assistance and reminds Nathan to reach out with any additional questions. Chat Link"
The customer contacted us for assistance with a service item not appearing on a drop down list in Work Orders.,Sales,stockapps- howto- items,other,"• Customer needs assistance with a service item not appearing on a drop down list in Work Orders.
• Teammate requests more details and permission to access account.
• Teammate discovers the item is a ''Non-inventory item'' and advises customer to create a service item.
• Teammate checks in with customer and offers to continue the conversation if needed.
• Teammate closes chat and reminds customer to reach out for further help if needed.
Chat Link"
The customer contacted us for assistance with inserting items into a completed project and specifically asked about moving an invoice item line.,"Customer,Transactions","customization,invoices",other,"• Method offers a help bot for customer inquiries and will connect customers to a team member if needed.
• The customer is looking to insert items into a completed project and is specifically asking about moving an invoice item line.
• This customization will require assistance from Method's consulting team and the customer is eligible for 1 hour of free customization.
• The customer will need to book a slot with a consultant for this service, and there may be additional fees after the first hour.
• The teammate checked in with the customer and will close the chat, but is available for further assistance if needed.
Chat Link"
The customer contacted us for assistance with a failed app routine related to QuickBooks items and minimum quantity checks.,Customer,"customization,icr-cs,icr-ps","miscellaneous,other","App routine ''QuickBooks Items > Minimum Quantity Check'' failed due to incorrect item name.
Teammate unable to identify exact cause due to limited expertise in customization.
Customer advised to discuss with customization team member Niharika for further assistance.
Niharika's contact information provided: n.verma@method.me.
Customer granted permission for teammate to access account for investigation. Chat Link"
"The customer contacted us to inquire about adding a class to each line item on invoices, similar to QuickBooks.",Transactions,"stockapps how-to,invoices","how-to,general support & issue resolution","Customer wants to add a class to each line item on invoices like in QuickBooks.
Teammate confirms it is possible with customization.
Teammate adds class column to invoices screen.
Customer asks if it can automatically populate next to line items.
Teammate explains it can be achieved with further customization for a fee. Chat Link"
The customer contacted us because they were having trouble with a sales order not updating pricing when adding new items.,,stockapps how-to,"how-to,general support & issue resolution","Customer is having trouble with a sales order (J23642) not updating pricing when adding new items.
Teammate (Brittaney) asks for permission to access account to investigate.
Total shows as 1224.96, customer confirms it has updated after refreshing.
Teammate offers further assistance and customer confirms no additional issues.
Conversation ends with teammate wishing customer a good day. Chat Link"
The customer contacted us regarding an error with the Item Method App when trying to view item details.,Sales,stockapps- howto- items,other,"Customer is experiencing an error with the Item Method App when trying to view item details.
The error is related to an invalid column name ''TenantID'' which does not exist in the table.
The error occurs for multiple item groups, including inventory assembly, non-inventory, sales tax, and service.
Teammate created a case with support (#54649) to investigate the issue further.
Teammate will update the customer once they have more information from the support team. Chat Link"
The customer contacted us to add 4 more items to a dropdown table for DrawerPulls.,"Admin,Customer","data import/export,tables and field","general support & issue resolution,other","Customer needs to add 4 more items to a dropdown table for DrawerPulls.
Teammate suggests exporting the table, adding more fields, and then importing it back.
Teammate has checked the audit trail and confirmed that the import was done.
Teammate offers further assistance and customer confirms they have no other questions. Chat Link"
The customer contacted us for assistance in locating and updating the Sales Tax Code field for items in Method through an import.,Admin,data import/export,"general support & issue resolution,other","Customer is having trouble locating the right field to update items with an import in Method.
Teammate provides steps to update items with an import in Method.
Customer is specifically looking for the Sales Tax Code field to update records for all items.
Teammate asks for confirmation on the fields being mapped.
Customer's dedicated agent has answered their question. Chat Link"
The customer contacted us because PO items were not reflecting in QuickBooks when received in Method.,Customer,customization,other,"Customer has an issue with PO items not reflecting in QuickBooks when received in Method.
Teammate suggests checking the Total Quantity Received field and syncing the changes.
Teammate discovers that custom fields in Method do not sync to QuickBooks.
Teammate recommends discussing customization options with consultant Joon.
Teammate suggests creating bills in QuickBooks to update quantity or customizing a similar workflow. Chat Link"
The customer contacted us because they encountered an error message when trying to open an item in Method New.,Sales,stockapps- howto- items,"general support & issue resolution,other","Customer encountered an error message when trying to open an item in Method New.
The error was occurring on all items and was not present in Method Classic.
The issue was resolved by reconnecting the sync.
The teammate was able to replicate the issue and access the items after the sync was reconnected. Chat Link"
The customer contacted us for assistance with service items not populating on recurring work orders.,,,general support & issue resolution,"Customer is having trouble with service items not populating on recurring work orders.
Teammate suggests checking default service item in Work Orders App Preferences and ensuring correct recurrence schedule is set up.
Customer gives permission for teammate to access account and investigate.
Teammate confirms that service items need to be manually copied to recurring work orders, but can be customized for automatic copying.
Teammate suggests scheduling a customization meeting for further assistance. Chat Link"
The customer contacted us to request a complete report of contacts and line items from Method.,Customer,catalogues- purchase history/ items purchased by customer,other,"Customer is looking for a complete report of contacts and line items from Method.
Teammate offers to add a purchase history app for the customer.
Teammate confirms if customer is still looking for a report of items purchased by customers.
Teammate closes the chat but offers to continue the conversation if needed.
Customer's email is mnolte@sanitas-skincare.com. Chat Link"
The customer contacted us regarding an issue with their customized packing slips not showing the ALU for multiple items.,Customer,"report designer,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","Customer is experiencing an issue with their customized packing slips, specifically the ALU not showing for multiple items.
Teammate is investigating the issue and will update the customer as soon as possible.
Teammate is in touch with the team for further assistance.
Teammate suggests refreshing and trying to print again.
Teammate will close the chat but is available for further help if needed. Chat Link"
The customer contacted us regarding issues with item 24481 not syncing with QuickBooks.,Connect,sync conflicts,general support & issue resolution,"Customer experienced issues with item 24481 not syncing with QuickBooks.
Troubleshooting steps were provided, including checking sync settings, verifying connection, and resolving conflicts.
Customer was able to resolve the issue on their own.
Teammate offered further assistance if needed.
Customer thanked teammate and conversation ended. Chat Link"
The customer contacted us to inquire about stopping an item from showing on estimates and adding a new user at a discounted price.,"Growth,Admin,Sales","billing,user management,estimates","other,user & account management","User wants to stop an item from showing on estimates to customers in Method when using QuickBooks Desktop.
Teammate provides steps to customize the ''New / Edit Estimate'' screen to achieve this.
User asks about the number of users on their account and adding a new user at a discounted price.
Teammate confirms there is only one active user and offers options for adding a new user at a discounted price.
Teammate suggests opting for an Annual Prepay Plan for a 10% discount on the monthly total. Chat Link"
The customer contacted us because their item was not showing up in the dropdown for donations.,,"icr-cs,icr-ps","miscellaneous,general support & issue resolution","• The customer's item is not showing up in the dropdown for donations.
• The issue may be due to the item being marked as a Non-Donation Item in the Donation App Preferences.
• The teammate offers to access the customer's account to further investigate the issue.
• The customer is currently on vacation and not actively working on the issue.
• The teammate reminds the customer to reach out if they have any additional questions.
Chat Link"
The customer contacted us to inquire about adding a line item to their project estimate in the correct order.,Customer,customization,"general support & issue resolution,other","The customer needs to add a line item to their project estimate in the correct order.
The teammate informs the customer that they are unable to insert or rearrange lines, but they can add it at the end and redo the estimate.
The customer's account has been included in a feature request for the ability to sort and move the grid.
The teammate suggests discussing further customization with a dedicated expert.
The teammate checks in with the customer and offers to continue the conversation if needed. Chat Link"
The customer contacted us with questions about adding pictures to items in their inventory in Method:CRM.,Customer,customization,other,"• Customer has questions about Method:CRM and wants to add pictures to items in the inventory.
• Teammate suggests customization and consulting services, which start at $145/hour.
• Customer agrees to move forward and signs pay-per-use agreement.
• Case is created and customer will be added to the queue for professional services.
• Teammate confirms completion and offers assistance for any additional questions.
Chat Link"
The customer contacted us for assistance with adding a new inventory item with the same name but different identifier.,Sales,stockapps- howto- items,other,"• User is having trouble adding a new inventory item with the same name but different inventory name.
• Method Help Bot provides steps to add a new item with the same name but different identifier.
• If duplicates are not allowed, the ''Insert Records Into Table'' action can be used to duplicate an existing record.
• Teammate offers to assist and checks if the user is still there.
• Teammate closes the chat but offers to continue the conversation if needed. Chat Link"
The customer contacted us because they deleted a purchase order and are having trouble recreating it due to missing options for ''TILE'' items.,Sales,"stockapps how-to,stockapps- howto- purchase orders,icr-cs,icr-ps","miscellaneous,how-to,general support & issue resolution,other","Customer deleted a Purchase order (In Home Stone-Tile) created from Sales order 603 and is trying to recreate it.
When trying to create the purchase order, none of the ''TILE'' items are showing as options.
The same issue occurred with Sales order 602.
Teammate suggested deleting both the Sales Order and Purchase Order and recreating them to fix the issue.
Customer will have to recreate about 30 line items in each of the two sales orders. Chat Link"
The customer contacted us regarding four items that are not syncing between Method and QB.,Connect,"qbdt sync,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","Four items not syncing between Method and QB
Teammate requested names of items and permission to access account
Two items currently in sync conflict, case created for second level support team to resolve
Case number 57654 assigned, customer to be contacted by team member
Customer thanked for patience and informed of updates to come. Chat Link"
The customer contacted us because they were having trouble adding a description-only item with a rate to an estimate or invoice in Method.,"Sales,Transactions","stockapps- howto-estimates,icr-cs,icr-ps,invoices","miscellaneous,other","• Customer is having trouble adding a description-only item with a rate to an estimate or invoice in Method.
• Teammate attempted to help but was unable to enter the rate.
• Teammate created a case for support to look into the issue.
• Case number is #56506.
• Support will be in touch with the customer. Chat Link"
The customer contacted us to add an item to a drop-down menu in the ''Status'' field of a work order.,Service Delivery,stockapps- howto- workorders,"general support & issue resolution,other","• Customer wants to add an item to a drop-down menu in the ''Status'' field of a work order.
• Teammate suggests using the Import/Export Tool to add more statuses to the Work Orders.
• Teammate guides customer to navigate to the Activities app and open an activity to access the status dropdown.
• Customer successfully adds the new status and confirms it will also appear on the work order screen.
• Teammate clarifies that updates must be made via the activity screen, not the work order screen.
Chat Link"
The customer contacted us for help with importing item descriptions.,Admin,data import/export,"general support & issue resolution,other","User is having trouble importing item descriptions.
Teammate asks for permission to access account and confirms table selection.
Teammate discovers that using the iteminventory table successfully updates the descriptions.
User confirms that the issue is resolved.
Teammate offers further assistance if needed. Chat Link"
The customer contacted us regarding a sync issue with a sales order into QuickBooks Desktop related to tax codes and using a ''SalesTaxGroup'' item as a line item on the transaction.,"Connect,Connect","sync conflicts,qbdt sync","general support & issue resolution,other","Customer is experiencing a sync issue with a sales order into QuickBooks Desktop.
The error is related to tax codes and involves using a ''SalesTaxGroup'' item as a line item on the transaction.
The teammate created a case for support to investigate the issue.
The case number is #53878 and the support team will reach out to the customer.
Customer's direct number is 306-933-0600. Chat Link"
The customer contacted us regarding a general sync conflict error when modifying an ItemInventory list.,Connect,sync conflicts,general support & issue resolution,"Customer reported a general sync conflict error when modifying an ItemInventory list.
The error message stated that an inactive parent cannot have an active child.
The team will reply to the customer's email within a few minutes.
The teammate requested permission to access the customer's account to further investigate the issue.
The teammate created a case for the issue and provided the customer's direct number for contact. Chat Link"
The customer contacted us because they are having an issue with bundle items from QuickBooks not syncing correctly in Method.,,"icr-cs,icr-ps",miscellaneous,"Customer is having an issue with bundle items from QuickBooks not syncing correctly in Method.
Teammate checked and found that the bundle items sync in the same sequence as in QuickBooks.
Teammate suggested resaving the bundle item in QuickBooks and syncing again, but the issue persists.
Teammate created a case for the second-level support team to investigate further.
Teammate provided the case number and will close the chat, but is available for further assistance. Chat Link"
The customer contacted us because the sales associate was unable to display pricing for a bundle item.,,,general support & issue resolution,"Sales associate unable to display pricing for bundle item g-s-w0930
Teammate offers to access account and create test transaction
Test transaction shows all bundle items and prices, but sales associate still unable to fetch information
Teammate suggests screen share with sales rep for further assistance
Teammate attempts to contact customer via call, but goes to voicemail. Chat closed, but customer can reopen for further assistance. Chat Link"
"The customer contacted us for help with Method CRM and its integration with QuickBooks, specifically regarding creating a custom report for sales of items and customers.",,stockapps how-to,how-to,"Jake needs help with Method CRM and its integration with QuickBooks.
QuickBooks Online does not support sales orders, but estimates should sync in real time.
Jake wants to create a custom report for month over month or year over year sales of items and customers.
The teammate recommends discussing customization options with the consulting team and books a free hour session for Monday at 8:30 AM (US/Pacific).
Jake's email is jake@pnwecs.com and his cell number is 971-347-6241. Chat Link"
The customer contacted us regarding syncing issues with an estimate and new items in Method not syncing with QBO.,Connect,"qbo sync,fin improvement","financial & payments,other","Customer is experiencing syncing issues with estimate 188402 and new items in Method not syncing with QBO.
Teammate pushed a sync and ran a full sync, but the issue persists.
Teammate will bring the issue to Smit and customer can book a time to discuss the case further.
Case number is #53292.
Customer thanked teammate and will reach out with any additional questions. Chat Link"
The customer contacted us to inquire about removing the item column in the estimate format.,Customer,customization,"general support & issue resolution,other","The customer has a question about removing the item column in the estimate format.
The teammate suggests customizing the screen and offers assistance from the consulting team.
The customer declines the offer and finds another solution.
The teammate confirms the customer's decision and offers further assistance if needed. Chat Link"
The customer contacted us because they noticed missing items on Method from QuickBooks.,Sales,"stockapps- howto- items,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","Customer noticed missing items on Method from QuickBooks
Advised to check QuickBooks sync and run a sync if needed
Items can be found in Method's Items App
If items are still missing, contact Method's support team
Customer's consultant fixed the issue Chat Link"
The customer contacted us for assistance with creating bundle items in Method.,,fin answered,other,"Method cannot create bundle items, they can only be created and edited in QuickBooks Online.
To use bundle items in Method, they must be created in QuickBooks Online and synced with Method.
Bundle items will appear as ''Group'' item type in Method.
Method can view but not create or edit bundle items.
Teammate checked in to see if the information provided was helpful and offered further assistance if needed. Chat Link"
The customer contacted us to seek assistance in deleting mistakenly created work orders and to inquire about copying items from estimate to purchase order.,,,general support & issue resolution,"Customer created hundreds of work orders by mistake and needs to delete them.
Teammate provided steps to delete recurring work orders and asked for permission to access account.
Customer confirmed customer and work order numbers for deletion.
Teammate provided steps to modify time for recurring work orders.
Customer asked about copying items from estimate to purchase order and teammate offered to do a test on the account. Chat Link"
The customer contacted us for assistance with modifying their Item Quantity Screenlet to filter and sort by quantity.,"Customer,Growth","customization,stockapps- dashboard,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","Customer needs help with modifying their Item Quantity Screenlet to filter and sort by quantity.
Teammate suggests accessing the Screenlet's settings and using the ''Filters & Views'' option to customize sorting and criteria.
Customer is unable to find the ''Filters & Views'' option and requests to speak with a team member.
Teammate offers to assist with customization and mentions an open customization case with another team member.
Teammate suggests refreshing the screen or logging out and back in to access the Sales Dashboard V2. Chat Link"
The customer contacted us because items were not carrying through to purchase orders despite being checked off for use with purchase orders.,Sales,stockapps- howto- purchase orders,other,"Items not carrying through to purchase orders despite being checked off for use with purchase orders.
Issue may be due to items being Service or Non-Inventory items, which are not set up to be purchased from a vendor by default.
To resolve the issue, enable the ''I purchase this service from a supplier'' checkbox and add a cost for the item.
Once the checkbox is checked and a cost is added, the item should appear in vendor transactions.
Customer was able to figure out the issue on their own. Chat Link"
The customer contacted us to request a QBO ListID reset for an item that was not showing up in QBO despite having a populated ListID.,Connect,qbo sync,"general support & issue resolution,financial & payments","Customer is requesting for QBO ListID reset for an item with RecordID 9842.
Item is not showing up in QBO despite having a populated ListID.
Customer has run a full sync twice and the item is not in sync conflicts.
Teammate is checking with their team and will access the account to investigate the issue.
Item is now showing up in QBO after teammate's overnight sync. Chat Link"
The customer contacted us for help with adding Group Items in Method for QuickBooks Online.,Sales,stockapps- howto- items,other,"Customer needs help adding Group Items in Method for QuickBooks Online.
Teammate confirms that Group Items are only available for QuickBooks Desktop.
Teammate suggests creating a Bundle Item in QuickBooks as an alternative.
Customer confirms that Bundle Items can only be edited in QuickBooks.
Teammate offers to create a feature request for customer and reminds them to reach out with any additional questions. Chat Link"
The customer contacted us because their app routine for Average Cost Routine and Report under Item app kept failing and they received an error email with code A005.,Customer,customization issues,"general support & issue resolution,other","• Customer's app routine under Item app keeps failing.
• The routine is for Average Cost Routine and Report.
• The customer received an error email with code A005.
• The issue was resolved by changing the report to always generate.
• Teammate offered to access the account for further investigation.
Chat Link"
The customer contacted us because they were unable to see the edit filter criteria option since last Wednesday for the ''BonOpusItem'' app.,,"icr-cs,icr-ps","miscellaneous,general support & issue resolution","Customer unable to see edit filter criteria option since last Wednesday
Issue reported for ''BonOpusItem'' app
Teammate working on resolving the issue
Customer gives permission for teammate to access account
Teammate confirms issue is resolved and asks customer to refresh and try again Chat Link"
The customer contacted us because they were experiencing issues with items not appearing on their internal run sheet.,Customer,"customization issues,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","• Customer is experiencing issues with items not appearing on their internal run sheet.
• Possible solutions include enabling certain checkboxes and saving bundle items.
• Teammate requests more information and offers to access the account for further investigation.
• Teammate attempts to contact customer via phone and offers screen share assistance.
• Teammate follows up with customer and offers to continue the conversation at a later time.
Chat Link"
"The customer contacted us for assistance with changing an item to an assembly, applying discounts, invoice customization, synchronization issues, and a free customization session.","Connect,Transactions","qbdt sync,invoices","general support & issue resolution,other","Teammate closes chat and invites customer to contact for further assistance.
Customer expresses gratitude and asks for a summary of the conversation.
Teammate provides a summary of key points discussed, including changing an item to an assembly, applying discounts, invoice customization, synchronization issues, and a free customization session.
Teammate shares a meeting invite for the customization session.
Customer thanks teammate and ends the conversation. Chat Link"
The customer contacted us regarding sync conflicts with the item ''Limoncello 750ml'' not syncing to QuickBooks.,Connect,sync conflicts,general support & issue resolution,"Item ''Limoncello 750ml'' not syncing to QuickBooks due to sync conflicts.
Teammate suggests changing item name and selecting correct income account to resolve conflicts.
Customer created item in both Method and QuickBooks, causing sync conflicts.
Teammate creates support case #54598 for further assistance.
Customer to reach out with any additional questions or concerns. Chat Link"
The customer contacted us for help finding an item image in the database for an estimate report.,Customer,tables and field,"general support & issue resolution,other","Customer needed help finding the item image in the database for an estimate report.
Customer was unable to find it in the estimate line table but found it in the item table.
Teammate offered assistance and asked for more details.
Customer was able to resolve the issue on their own.
Teammate checked in to see if the customer needed further assistance. Chat Link"
The customer contacted us for help adding the SKU field to invoices line items in Method.,"Customer,Transactions","customization,invoices",other,"Max Jordan from Bandit Fitness Equipment needs help adding the SKU field to invoices line items in Method.
The teammate offers a free hour of customization with an expert consultant to help with this issue.
The teammate provides a link for Max to book the free hour at a convenient time.
The teammate follows up multiple times to check if Max still needs assistance. Chat Link"
The customer contacted us because they were having issues with invoice line items not displaying properly in a custom template.,"Customer,Transactions","report designer,icr-cs,icr-ps,invoices","miscellaneous,general support & issue resolution,other","Customer is having issues with invoice line items not displaying properly in custom template.
Teammate suggests reviewing template in Web Report Designer and setting it as default in Invoice App preferences.
Teammate requests permission to access account and resolves issue by adding missing data member in Detail Report.
Customer confirms issue is resolved.
Teammate provides instructions on where to add data member in future. Chat Link"
The customer contacted us due to a sync error for an estimate for Service Partners - Orlando caused by an invalid Unit of Measure for the Estimate Line Items.,Connect,sync conflicts,general support & issue resolution,"Customer is getting a sync error for an estimate for Service Partners - Orlando due to invalid Unit of Measure for the Estimate Line Items.
Customer is not changing any UOM but keeps getting the error.
Teammate requests permission to access the account to investigate the issue.
Teammate creates a case for the team to resolve the UOM error and other errors on the Estimate table.
Teammate provides case number #58337 and confirms that support will be in touch with the customer. Chat Link"
The customer contacted us to inquire about emails not showing up in their sent items folder when sent through Method.,Customer,"stockapps- howto-send email,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","User has a question about emails sent through Method not showing up in their sent items folder.
Teammate directs user to view sent emails in Communications section of Account Settings.
Teammate explains that emails sent from Method won't appear in regular sent box, but can be tracked for open and click rates.
User has a question about an email that was both opened and bounced.
Teammate creates a case for second-level support team to investigate the issue. Chat Link"
The customer contacted us to inquire about free customization hours and express excitement for using the CRM for the upcoming tax year.,Customer,customization,other,"Customer inquired about free customization hours and expressed excitement for using the CRM for the upcoming tax year.
Teammate informed customer of one free customization hour and mentioned that any additional customizations would be billable.
Customer plans to gather more questions before scheduling an appointment.
Teammate offered to answer any additional questions and wished customer a great day. Chat Link"
