Rating,Comment,Licenses,Account,App,Date,Age,Page Loads - All,Page Loads - FS
0,"This questionaire popping up in front me while I try to work, taking me away from my thoughts which are fleeting. Perhaps send me an email instead of being so intrusive?",4,detonategroupinc2,Method:CRM For QBO,2023-06-27,139,608,0
2,should have gotten more upfront,2,curbsideupfitters,Method:CRM For QBO,2024-03-13,201,754,0
5,wonky,45,LRP,Method:CRM for QBD,2023-04-27,1602,863,0
0,not at all intuitive not does it synch with outlook,6,westallisblue,Method:CRM for QBD,2024-05-24,1600,56,0
4,it works 50% of the time,21,shedsunlimited,Method CRM Pro for QB Desktop,2024-03-11,3404,8505,0
2,I find it VERY confusing. It is not user friendly for me at all.,2,allgoodhomewatch,Method:CRM For QBO,2024-02-25,195,65,0
4,dashboards,8,ambliftinc2,Method:CRM for QBD,2024-01-19,715,191,5
0,"Horrible customer interface.
Data does not save",13,keybusinesssolutions,Method CRM for QB Desktop,2024-09-17,3751,7170,0
5,It does not easily let you change things or allow certain options that should be available for  you to change.  Then you want to charge us for things that Method should already do.,7,screensofgeorgia,Method CRM Pro for QB Desktop,2023-08-21,3806,5635,6
0,Keeps glitching not consistent access,5,VCSGTAWest,Method:CRM for QBD,2023-12-04,1097,2953,0
2,Customization is extremely time consuming.,3,allwindowanddoorservices,Method:CRM For QBO,2024-08-20,651,2566,41
0,popups,9,advancedpoolcoatings1,Method:CRM For QBO,2023-04-12,3975,737,14
1,assistance with customer service is nearly impossible,1,assuredlogisticsenterpriseCo1,Method:CRM For QBO,2024-02-22,1431,215,0
2,"IT'S SLOW 
",58,EnglandLogistics,Method:CRM for QBD,2023-07-07,1255,4401,0
5,"most; mass emailing 
least; complicated to figure out. definetly some things that need ironing out. ",3,ontariometalproducts3,Method:CRM For QBO,2023-04-11,60,1055,0
4,"its decently mobile, but the vast majority of the needed visibility is not viewable on mobile platforms.

The other thing that makes even liking method hard is that everything that you would think would be no brain integration is all features that you have to pay for or get in queue to be worked on. decent software but will be replaced as soon as a better more functional software is available.",3,crussellconstruction,Method:CRM for QBD,2024-02-22,170,292,0
0,"New design is far, far, far from intuitive, making it a much lower value than was Classic.  Clearly this was designed to maximize Method's revenue, not to serve the customer.  ",5,snowdenonsite2,Method:CRM For QBO,2023-07-05,789,10,0
5,Versatility/Complicated,17,perfectlypurepools3,Method:CRM for QBD,2023-01-04,264,321,105
0,really bad developing customer needs!,10,airseatrans,Method:CRM for QBD,2023-03-18,285,9,0
5,"It is really hard to customize, and you have to pay consulting hour that cost too much for someone to customize to your needs",1,aircraftholdingsolutions2,Method:CRM For QBO,2023-03-15,581,484,0
4,Lots of issues with things not saving correctly. Duplicates. Its just not been a smooth app by any means and iv been using it for 6 years or so and have always had issues with it.,21,shedsunlimited,Method CRM Pro for QB Desktop,2023-10-04,3245,7779,0
3,"The modules don't share information so must open and close redundantly too many modules to learn simple info like address, email when in Estimates.  Can't have multiple customers share one Opportunity.  But really, after using SalesLogix, ACT, GoldMine and others there are too many things to list here for improvement to Method.  Like Method wasn't built by sales people.",2,ichrom,Method:CRM for QBD,2023-02-16,1274,2515,0
1,"very inflexible, lacking functionality of standard crm features youd expect",4,visogroupltd2,Method:CRM For QBO,2024-06-28,674,3107,0
6,reporting capabilities are cumbersom,23,fitzsfishpondsllc,Method:CRM For QBO,2024-01-10,992,452,0
1,"I find Method severely underdeveloped. After using it for over three years, I haven't seen any updates. Most functions are defunct and aren't suitable for their application. The email campaigns feature is a great example - no templates, no designer, not easy to make professional-looking emails. The export to Mailchimp offers very little value as most of the data you want doesn't export. The outlook login is outdated and isn't compatible with email accounts. Very disappointed with Method.",5,cheelcare,Method:CRM For QBO,2024-06-28,1535,407,0
1,where do I go to learn how to use this software  especially as related to  recording customer data sales reports   sales funnel purposes   lead- possible prospect -decision makers - potential sales - competitors position-  first sale -  penetration plan  etc,3,blueridgescreenproducts,Method:CRM For QBO,2024-05-30,466,348,0
0,you are not able to create a lead with out creating a name for the company to sync in Quick Books. when i am creating a lead i dont want them to sync in quickbooks unless they become a customer.,12,websterassociates,Method:CRM for QBD,2023-07-18,987,558,0
0,everything!,3,mworthingco,Method:CRM for QBD,2023-09-26,216,97,33
4,does what I need,1,Treeform,Method:CRM For QBO,2024-07-01,1448,108,0
0,KEEPS DROPING VOICE,36,FlowTurn,Method:CRM for QBD,2023-01-26,952,1931,1
4,"old school, does not offer modern insights, reports are horrible, not even export to CSV files, no way to generate reports based on open quotes vs sales orders, etc",5,weightechusa,Method CRM for QB Desktop,2023-10-11,3485,0,0
0,The printable forms and customizations - to restrictive!,2,ledesigngrouptest,Method:CRM For QBO,2023-07-28,86,411,0
0,"It is not user friendly. You cannot make changes on your own. It is not intuitive. The desktop version is much, much better",6,zokos,Method:CRM For QBO,2023-04-25,283,1700,0
0,Method is terrible!,10,conequippartsandequipmentllc,Method CRM Pro for QB Desktop,2023-02-07,3162,4967,0
5,There's no contact number or support information on your software or one that I can easily find online. I chat option would be a great start or a platform where users can help each other if you are unable to fund any other form of support.,6,back2internationalltd,Method:CRM For QBO,2024-10-23,2123,2538,0
5,"Most:  Connection to issue invoices.
Least:  Search when looking up contacts is terrible.
Speed of Method servers slows as the day progresses and I assume more people log on.",4,mtechlocks,Method:CRM For QBO,2023-08-15,949,4180,0
0,popups,9,advancedpoolcoatings1,Method:CRM For QBO,2024-07-08,4428,1306,66
3,We do not receive emails from aol or yahoo domains,4,samkaramandsons,Method:CRM For QBO,2023-12-26,231,660,1
0,Billing practices and very poor customizations.,2,autorescuetools,Method:CRM for QBD,2024-11-19,421,2085,0
4,We have had some of our accounts loose information and phone numbers along with emails for some bigger clients. It is very difficult to understand why it is going through like this.,6,transmetroninc3,Method:CRM for QBD,2024-11-25,383,3357,0
0,ads,9,advancedpoolcoatings1,Method:CRM For QBO,2023-10-10,4156,1034,6
3,"slow customer services, everything costs, and nothing is a quick fix",8,deltakits1,Method:CRM for QBD,2024-09-10,2093,13593,0
1,"Sync engine is faulty, unreliable and causes  QB company file database indexing problems that seem to be magnified when Method is not the only third party integration in use by the customer.",2,ichrom,Method:CRM for QBD,2023-04-04,1321,132,0
0,https://nugentjewelry.method.me/apps/Default.aspx#/40bd3963-f4fa-46a9-96b3-6fce98ceeb7f/,19,nugentjewelry,Method:CRM For QBO,2024-08-12,1057,67,0
5,its do difficult to make changes.,11,future1s,Method:CRM For QBO,2023-08-14,53,3457,26
6,cost,1,derwasofwelshpoolltd2,Method:CRM For QBO,2023-09-04,549,1883,306
4,buffering,45,gopowertrain2,Method:CRM For QBO,2024-10-24,938,1804,0
6,"Search field is extremely antiquated.  reverse the terms, forget about it.  add an 's', forget about it, and the list goes on.",4,mtechlocks,Method:CRM For QBO,2024-10-22,1383,1833,0
5,I have to hire someone to make small changes,3,northamericansprayfoampolymersllc,Method:CRM for QBD,2023-02-01,127,367,0
4,"I like most about Method is it ties in with my QuickBooks.
I dislike the fees for each user. It also seem to drop items and does not retain work orders after the end of year which is very inconvenient!",7,progressivedairysystemsllc,Method:CRM for QBD,2023-03-17,548,116,101
4,it will not sync with quickbooks unless I do a manual push.  This requires me to log into Method go to the troubleshooting and get a authorization code. I have to do this every day. This has been an on going problem for over 8 months.,6,equipmentguys,Method:CRM for QBD,2024-05-22,2112,650,0
4,Has a lot of issues that have not been resolved. I would not recommend it for a larger growing company.,21,shedsunlimited,Method CRM Pro for QB Desktop,2024-04-01,3425,7341,0
0,I can not send an estimate from this account.,6,transmetroninc3,Method:CRM for QBD,2024-05-07,181,1909,0
1,"It's a cumbersome program. Activates for example, should be streamed lined so you don't have to click on 15 button to end one activity and create a new activity. ",108,containerone1,Method:CRM For QBO,2023-02-14,1930,29244,0
5,I like how it syncs with QuickBooks. I don't like the cost of trying to customize it. Also email campaigns are very limited in its ability.,1,unitedglobaltradingcorp4,Method:CRM For QBO,2023-04-28,240,36,0
3,Very messy and near impossible to use on the app.,108,containerone1,Method:CRM For QBO,2024-01-09,2259,2541,0
0,Customer Support,12,apexstone,Method:CRM for QBD,2023-09-27,1834,362,0
4,No main notes when you first pull the contacts / Very easy to use,2,cherrydigitalprosllc2,Method:CRM For QBO,2023-04-06,122,1103,0
3,"Most - interface with quickbooks
Least - visibility of estimates on smartphone",3,diwhheating,Method:CRM for QBD,2024-01-19,552,1369,0
4,"The Customization Expert was amazing, but the fact that the customization needs an expert is why I would not recommend it",20,solariscanada,Method CRM Pro for QB Desktop,2023-08-10,2716,5521,52
0,pop ups over n over,9,advancedpoolcoatings1,Method:CRM For QBO,2024-01-08,4246,434,1
4,"STILL WORKING OUT AL THE KINKS
",8,legendarygroupinc,Method:CRM for QBD,2023-07-11,497,81,0
3,"No enterprise integration for IAM - Random break downs due to updates unbeknownst to the customer - customizations are in some cryptic """"no code""""... They have good support response however.",24,yoderbilt,Method:CRM for QBD,2023-05-02,1107,565,0
0,i dont know,3,Dairytech,Method:CRM for QBD,2023-03-29,734,291,97
1,Hard to learn and use,4,nationalstabilizersinc,Method:CRM for QBD,2024-09-22,242,215,0
4,changes and updates are not actually completed,2,wholelogreclaimed3,Method:CRM For QBO,2024-01-17,785,2108,62
4,It's too costly to make changes or updates to the program. The live tech service takes longer than it should for simple changes. Perhaps it's just too cumbersome for the reps. I have a quote for a small handful of changes and the estimate for up to 10 hours of tech time to make the changes is prohibitive.,5,comfortzonewindowtinting,Method:CRM For QBO,2024-03-14,661,1032,0
3,The software could use some much needed improvements around efficiency when entering orders and managing invoices.,1,juscrawfishcompany,Method:CRM for QBD,2024-05-17,485,6699,4860
5,It is easy,9,kgmenterprises,Method:CRM For QBO,2024-11-26,2257,7132,0
1,poor technical support,9,biotradingdmcc,Method:CRM for QBD,2024-05-21,484,305,89
0,"It's ok, but compared to sales CRM like Pipedrive, it doesn't compare.",10,marksonpianoslimited,Method:CRM for Xero,2024-09-07,197,270,0
0,"Wonky, not intuative",1,DMS2021,Method:CRM for QBD,2023-07-12,931,131,0
5,Quickbooks sync is no longer automatic.,4,academicenrichmentmadscienceofdetroit,Method:CRM For QBO,2023-03-16,437,673,0
2,Notes/Search for clients,23,fitzsfishpondsllc,Method:CRM For QBO,2023-08-09,838,821,0
4,The email receipt generator frustrates me with the way it inserts blank lines between paragraphs when text is brought in from Word.,1,mission98,Method:Donor for QBO,2023-11-02,2057,331,0
2,"There isn't a single tutorial or video that can ever get me to the finish line..
I am sorry that we ever came to Method. People are nice but they  don't know the program either
Have waste effing hours",5,totalfoodservice,Method:CRM For QBO,2024-01-05,77,1285,0
3,Too complicated for quick daily ease of use.,3,riderresidential,Method:CRM For QBO,2024-10-05,578,1486,0
0,Horrible layout and customer service.,13,keybusinesssolutions,Method CRM for QB Desktop,2024-01-04,3494,7625,0
5,Would like to be able to send text message through Method.,1,thewindowguild,Method:CRM For QBO,2024-11-13,847,3032,0
0,All of it!,12,Metroledlight,Method:CRM for QBD,2023-10-10,1050,2697,0
4,The way Method handles contacts and customers and a very poor sales funnel/pipeline report.  Not pleasing to the eye at all.,5,paintapplicatorsllc,Method:CRM For QBO,2023-08-11,1710,1123,0
6,it needs to be updated and can be clunky compared to other programs,7,SWSGroup2020,Method:CRM for QBD,2024-01-23,1258,342,0
0,cannot find how to view my account with Method.,3,solaproducts,Method:CRM for QBD,2024-06-11,888,107,0
5,"I like that there is a spot for all appropriate information (organization). 
I dislike that payments constantly don't sync.",58,EnglandLogistics,Method:CRM for QBD,2024-05-09,1562,7670,0
1,THe page doesn't load for minutes with T Mobile Internet text messaging stopped working it really has sucked lately and I'm actually in the video telling people how great method is are whole company says it sucks in our meetings FYI,108,containerone1,Method:CRM For QBO,2024-10-16,2540,16365,0
2,nothing n nothing,30,botanaway,Method:CRM For QBO,2024-05-29,618,4043,0
0,Just Crashed,8,midatlanticasphalt,SaaSphalt for QBD,2024-01-11,2598,1091,0
3,inconsistent,5,bktmp,Method:CRM for QBD,2023-10-10,552,3239,0
6,I am still learning the software,1,njsolutionsinc,Method:CRM For QBO,2023-06-13,63,635,0
2,"We have ALOT of issues with the system not working properly, and to have a whole business built on this CRM is a BIG risk. The more we have grown the bigger and more common the issues have become. Making this CRM very difficult to use for a growing company. ",21,shedsunlimited,Method CRM Pro for QB Desktop,2023-04-06,3064,2991,0
0,too many nag screens,4,kingstonsfinestvaluessavings,Method:CRM For QBO,2023-07-26,1206,41,0
0,sluggish and buggy,2,dupagemobilitygroup,Method:CRM For QBO,2023-12-13,857,1550,929
4,METHOD HAS BEEN GOOD BUT THE CUSTOMIZATION HAS BEEN A HELL. WE HAVE LEFT IT UNCHANGED SINCE INCEPTION CAUSE THE STRESS TO IMPROVE IT SEEMS MORE DIFFICULT AND COSTLY. THE PERSONS TO MAKE THE CHANNGES MISS KEY COMPONENTS IN THE MODS AND RETURN TO CHARGE . JUST COMES OFF AS A SCAM. THERE IS ALSO THE ISSUE OF THE FACT THAT IT SOMETIMES DOES NOT SYNC,1,rescomdesignsinc,Method:CRM For QBO,2024-03-27,1470,896,0
5,dislike that there are issues with this program at least 3 times a month that puts a hold on any capability of doing my job,21,shedsunlimited,Method CRM Pro for QB Desktop,2023-12-11,3313,9065,0
0,Worst app I use!,20,brownsafe,Method:CRM for QBD,2023-06-15,1765,3918,0
5,Improve searching tool,22,docudavit4,Method:CRM For QBO,2024-07-26,479,11099,0
0,"It is expensive.  Customer service is not free - whatever it is, it is CUSTOM which costs extra.  I thought it would make end of year bookkeeping easier but you batch donations together into quickbooks making it difficult to see which donations were included in the payouts.  It is more work and more expense than I expected.",3,docwalks4animalsorginc,Method:Donor for QBO,2023-10-09,435,36,0
0,doesn't work right now,45,gopowertrain2,Method:CRM For QBO,2024-04-05,736,2338,0
1,unable to generate the product i want although we've been working with a customization vendor for 1 year.,5,totalsafety,Method:CRM For QBO,2023-03-26,368,270,0
0,You email system is difficult to use at startup.  And you documentation/videos has me considering SalesForce.,5,ifsgroupusa,Method:CRM for QBD,2024-03-08,214,273,0
2,"My work is slower because there are lots of windows to open, it's slow searching for a file name. We were told there should be no duplicates on the entry but there are lots of duplicates.  Over all, I am not happy with Method",22,docudavit4,Method:CRM For QBO,2023-10-16,195,13052,0
5,The auto pay was not charging then it charged the customer twice. I will need to refund.,1,thebookkeepingxpertsllc,Method:CRM For QBO,2023-11-19,306,15,0
6,Compensates QBO lack of SO capability,1,axsiondigital,Method:CRM For QBO,2023-06-13,76,181,0
6,Organization,34,fosterlakeandpondmanagement,Method:CRM for QBD,2023-04-24,539,832,0
0,slow at uploading and retrieving data.,6,freedomrangerhatcheryinc,Method:CRM for QBD,2023-07-20,415,9075,0
1,Too complicated,4,meltarsupply,Method:CRM For QBO,2023-10-18,223,42,0
0,I cannot even begin to fit my opinion of your product in this box that has a 500 character limit.,15,aerialandcraneexpertsinc3,Method:CRM For QBO,2023-03-17,234,316,284
3,It's clunky,1,Treeform,Method:CRM For QBO,2023-01-11,911,242,0
5,nuetral,30,botanaway,Method:CRM For QBO,2023-11-27,434,1329,0
3,No UK timezone support,4,visogroupltd2,Method:CRM For QBO,2024-01-02,496,866,0
5,Ease of use,1,roboticexplorers,Method:CRM For QBO,2023-08-22,753,315,0
0,pop ups,9,advancedpoolcoatings1,Method:CRM For QBO,2023-01-12,3885,393,28
4,The proposal making is working well for us.  The poor integration of the Method Calendar to Gmail Calendar (or any other Calendar) is a major drawback.  The other major drawback is that we do not have a good way to report on activities that enable us to see what is going on n an individual account without having to open each activity where the notes are.,10,atlanticgraphics,Method:CRM for QBD,2024-08-30,2859,587,0
6,Still figuring this out.  Wish the calendar sync to Outlook was better.,5,uniquedesignsolutions2,Method:CRM for QBD,2023-03-28,28,1050,0
5,"I like that you can click on the name and it takes you to the customer account. Dont care for how slow it can be and how if you need to change info on a sales order  on a line , it doesnt let you. You have to highlight it a couple of times before you can write",15,duralinesystemsinc2,Method:CRM For QBO,2024-08-07,351,4648,0
1,the system is terrible for our needs and the vendor should have recommended it would not work vs. trying to put a square peg in a round hole.  just terrible.,5,totalsafety,Method:CRM For QBO,2023-07-11,475,533,0
5,"No real flow. a little robotic in my opinion. Should have an organizations tab - a better hierarchical flow - Organization (Parent Company), to Dealer (Location), to Point of contact or buyer. You need to look everywhere to find out where you are. ",16,shercomindustries3,Method:CRM for QBD,2023-04-10,83,991,0
0,It is much harder to use than Quickbooks desktop. It is not easily customized by the user making it much more expensive than you think,6,zokos,Method:CRM For QBO,2023-01-06,174,1581,0
5,"i would like it if there could be more email slots on main contact page.
The search feature is very inconsistent with  suggestions  sometime spacing matters other times not. Any search with a & is very problematic.
",9,tippmannarmscompanyllc,Method:CRM For QBO,2023-06-16,2011,1633,0
0,SLOW.,16,mdcarts1,Method:CRM for QBD,2023-01-26,737,3110,0
5,"Most - integration with QBO. Least - VERY hard to customize - Classes should just be available in all transactions, but we had to pay extra to include them.",4,royalwisesolutionsinc,Method:CRM For QBO,2024-05-30,262,137,0
0,"When using Group Items in Quickbooks, Method has just been absolutely buggy with how these grouped items present to a client on both the printed and viewed estimates/proposals/invoices.  We cannot have that, its unprofessional.  So I am not able to use grouped items which for hospitality is very important (we sell packages that have items taxed at different rates.  Groups allowed me to properly assign revenue accounts and tax rates).  So yeah, wouldn't recommend.",5,paicinesranchhospitalityllc,Method:CRM for QBD,2023-06-26,152,226,0
2,Having to utilize another 3rd party app to communicate,2,protectconstruction,Method:CRM For QBO,2024-10-14,151,15,0
1,"Syncs very easily with QBO but customization is a pain and near impossible to do yourself. A more user friendly UI would be a HUGE improvement so we can set up automations ourselves, edit web to lead forms, have a native calling integration. These would be dramatic improvements instead of waiting 2-3 weeks to talk to someone about what you need customized then waiting on them to do it",6,volitant2,Method:CRM For QBO,2024-05-14,92,1411,0
5,"Unfortunately, I don't like much about it. Not at all user friendly. Too many customizations (on going) & work arounds have been necessary.  As far as Job Dispatching, our techs would prefer to be notified via text instead of email...when might this be possible? Thank you.",3,mworthingco,Method:CRM for QBD,2024-01-03,315,822,502
0,It is easy to use,9,kgmenterprises,Method:CRM For QBO,2023-09-07,1811,5030,0
0,Its slow,6,actionlighting,Method:CRM for QBD,2023-06-26,150,2396,0
3,"Cannot be logged in on multiple devices without logging out/being kicked out of the other device.
",3,ColumbusOhio,Method:CRM For QBO,2023-04-07,359,300,0
1,Not much,30,botanaway,Method:CRM For QBO,2024-09-03,715,8804,0
2,"Time taken to resolve issues
",6,tfriedl,Method:CRM for QBD,2023-08-04,1400,189,0
0,pop ups,9,advancedpoolcoatings1,Method:CRM For QBO,2024-10-07,4519,836,85
0,Everything!,12,Metroledlight,Method:CRM for QBD,2024-07-16,1330,1575,0
2,I have to keep signing in and out to keep it working well!!!  It slows down to the point that I get page unresponsive!!!  Honestly It causes a LOT of frustration!!!  Many things about this program needs to be fixed!,108,containerone1,Method:CRM For QBO,2024-07-22,2454,42887,0
0,"It is too hard to make changes.
Quickbooks for desktop is much easier",6,zokos,Method:CRM For QBO,2024-07-23,738,902,0
0,to busy,4,ct,Method:CRM for QBD,2023-07-21,2139,850,0
5,"Most- streamlined integration with Quickbooks, user-friendly interface, user friendly functionality.
Least: all aspects of technical support. ",2,cannadri2,Method:CRM For QBO,2023-07-07,108,443,80
0,pop ups,9,advancedpoolcoatings1,Method:CRM For QBO,2024-04-08,4337,1461,143
6,Not intuitive,11,access2mobilityinc,Method:CRM for QBD,2024-07-25,905,988,48
1,Customizable. But it seems that its now causing issues.,21,shedsunlimited,Method CRM Pro for QB Desktop,2024-10-11,3618,620,0
0,popups,9,advancedpoolcoatings1,Method:CRM For QBO,2023-07-12,4066,753,52
1,Clunky.  Awful customer service,2,lilacinvestments,Method:CRM For QBO,2023-02-08,981,610,0
1,"there is no process to create/schedule automatic follow-up emails to customers/contacts while creating activities in Method. And when Method is contacted, they don't even understand this is important. poor customer service when they are contacted.",2,mccormickwestern1,Method:CRM for QBD,2024-01-26,2627,1830,0
5,"I like the ease of checking everything and once I figured a few things out, it has been a mostly good experience. Your staff is very helpful and friendly. 

I run a nonprofit and our income is based on donations. I have been having problems with recurring donations. The donations that are made with credit cards work the first time, but then the second month they don't work. I have a person helping me with this, but it is very frustrating. ",1,envisionacademy,Method:CRM For QBO,2023-12-04,193,121,0
0,help is very hard to get and very expensive,1,broderickbuilders,Method:CRM For QBO,2024-04-27,136,107,0
3,repeated glitches,38,planitmeasuring,Method:CRM For QBO,2023-02-23,2311,1882,0
4,Too many struggles with the sync. Not easily customizable. Not good for companies with advanced inventory (which is not available in QBO.),18,cypressengine,Method:CRM For QBO,2024-09-10,547,20,0
0,To Many steps to add new lines when building a quote. Is not Smooth or quick like QB is.,2,tributetax2,Method:CRM For QBO,2024-06-24,130,45,0
0,System does not work consistently.,2,JKDesireLLC,Method:CRM For QBO,2023-05-23,476,562,0
2,I cannot get accurate KPI reports.,5,durabikelocker,Method:CRM for QBD,2023-09-22,554,53,0
4,"The search feature is very restrictive.  Plus, you have some redundancy in the Contacts as well -- should be able to sift those out easier",1,soldiersports,Method:CRM for QBD,2023-12-14,2281,995,0
3,Difficulty of the custimization.,7,ReuningMcKim,Method:CRM for QBD,2023-08-29,868,253,0
5,Not a very user friendly interface. Different apps do not sync together  to provide a seamless use. Jobber CRM more conducive to our business model. No option for Geo locating for teams on the road.,1,westisland1,Method:CRM For QBO,2023-03-31,448,2825,30
3,"I do not like the response center, when we have issues we constantly receive the response that they are unable to recreate the problem we are having.",17,industrialhorsepowerplus,Method:CRM for QBD,2024-04-25,230,2419,870
0,it's a money pit,1,urbanforestengineeringinc,Method:CRM For QBO,2024-04-09,20,1047,261
0,support is non existent...they just keep saying to use the free hour of customization...contacting thru the online web form more than once with zero response...support pages are incomplete,4,smokinggoose2,Method:CRM for QBD,2023-06-16,53,1683,0
5,I've not used it enough to make a better determination,1,atlanticmaterialsgroup2,Method:CRM For QBO,2023-10-24,5,217,0
